"","gsis_id","full_name"
"175","00-0000634","Jon Baker"
"176","00-0010366","Greg Manusky"
"177","00-0016248","Derrick Thomas"
"178","00-0018589","Ted White"
"179","00-0011675","Bam Morris"
"180","00-0014759","Rashaan Shehee"
"181","00-0008203","Vershan Jackson"
"182","00-0008224","Mitch Jacoby"
"183","00-0008572","Lonnie Johnson"
"184","00-0014586","Walter Scott"
"185","00-0002337","Sammie Burroughs"
"186","00-0006918","Anthony Harris"
"187","00-0007993","Tom Hutton"
"188","00-0010379","Dan Marino"
"189","00-0018518","Scott Zolak"
"190","00-0004546","Jim Druckenmiller"
"191","00-0000735","Kantroy Barber"
"192","00-0003271","Cecil Collins"
"193","00-0008099","Calvin Jackson"
"194","00-0014760","Mike Sheldon"
"195","00-0014344","Kio Sanford"
"196","00-0010942","Kevin McKenzie"
"197","00-0004497","Todd Doxzon"
"198","00-0011691","Mike Morris"
"199","00-0000857","Anthony Bass"
"200","00-0013959","Chris Rogers"
"201","00-0006292","Torrian Gray"
"202","00-0004237","Kevin Devine"
"203","00-0001762","Gregg Briggs"
"204","00-0007023","Martin Harrison"
"205","00-0004396","Chris Doleman"
"206","00-0000673","Jerry Ball"
"207","00-0011249","Corey Miller"
"208","00-0012925","Joe Phillips"
"209","00-0011333","John Henry Mills"
"210","00-0007520","Leroy Hoard"
"211","00-0007913","Jay Humphrey"
"212","00-0003715","Carlester Crumpler"
"213","00-0001247","Terry Billups"
"214","00-0005990","Cory Gilliard"
"215","00-0018928","J'Juan Cherry"
"216","00-0003060","Rico Clark"
"217","00-0003319","Ferric Collons"
"218","00-0009489","Bob Kuberski"
"219","00-0004201","Damon Denson"
"220","00-0009420","Jeff Kopp"
"221","00-0014181","Bernard Russ"
"222","00-0011127","Ron Merkerson"
"223","00-0003629","Vernon Crawford"
"224","00-0003736","Derrick Cullors"
"225","00-0004871","Jerry Ellison"
"226","00-0011758","Zefross Moss"
"227","00-0015153","Devon Smith"
"228","00-0018062","Sir Mawn Wilson"
"229","00-0002336","Justin Burroughs"
"230","00-0017920","Robert Williams"
"231","00-0007359","Chris Hewitt"
