"","team_2022"
"1","ARI"
"2","ATL"
"3","BAL"
"4","BUF"
"5","CAR"
"6","CHI"
"7","CIN"
"8","CLE"
"9","DAL"
"10","DEN"
"11","DET"
"12","GB"
"13","HOU"
"14","IND"
"15","JAX"
"16","KC"
"17","LA"
"18","LAC"
"19","LV"
"20","MIA"
"21","MIN"
"22","NE"
"23","NO"
"24","NYG"
"25","NYJ"
"26","PHI"
"27","PIT"
"28","SEA"
"29","SF"
"30","TB"
"31","TEN"
"32","WAS"
"33",NA
