"","yearly_id","position"
"200","1999_00-0005355","WR"
"201","1999_00-0005361","FB"
"202","1999_00-0005363","QB"
"203","1999_00-0005379","QB"
"204","1999_00-0005562","WR"
"205","1999_00-0005588","TE"
"206","1999_00-0005589","QB"
"207","1999_00-0005600","QB"
"208","1999_00-0005616","WR"
"209","1999_00-0005620","RB"
"210","1999_00-0005668","WR"
"211","1999_00-0005720","WR"
"212","1999_00-0005732","TE"
"213","1999_00-0005741","QB"
"214","1999_00-0005755","QB"
"215","1999_00-0005779","RB"
"216","1999_00-0005794","QB"
"217","1999_00-0005816","RB"
"218","1999_00-0005822","FB"
"219","1999_00-0005883","RB"
"220","1999_00-0005885","QB"
"221","1999_00-0005891","RB"
"222","1999_00-0005902","QB"
"223","1999_00-0005903","WR"
"224","1999_00-0005932","WR"
"225","1999_00-0006043","WR"
"226","1999_00-0006047","TE"
"227","1999_00-0006100","QB"
"228","1999_00-0006101","TE"
"229","1999_00-0006130","WR"
"230","1999_00-0006133","TE"
"231","1999_00-0006155","RB"
"232","1999_00-0006208","RB"
"233","1999_00-0006210","WR"
"234","1999_00-0006212","QB"
"235","1999_00-0006299","QB"
"236","1999_00-0006300","QB"
"237","1999_00-0006305","RB"
"238","1999_00-0006322","WR"
"239","1999_00-0006324","TE"
"240","1999_00-0006331","WR"
"241","1999_00-0006355","QB"
"242","1999_00-0006359","WR"
"243","1999_00-0006380","RB"
"244","1999_00-0006410","QB"
"245","1999_00-0006423","QB"
"246","1999_00-0006431","WR"
"247","1999_00-0006456","FB"
"248","1999_00-0006458","TE"
"249","1999_00-0006482","FB"
"250","1999_00-0006627","WR"
"251","1999_00-0006666","TE"
"252","1999_00-0006692","FB"
"253","1999_00-0006803","RB"
"254","1999_00-0006804","TE"
"255","1999_00-0006808","QB"
"256","1999_00-0006848","TE"
"257","1999_00-0006877","WR"
"258","1999_00-0006930","RB"
"259","1999_00-0006949","TE"
"260","1999_00-0006977","WR"
"261","1999_00-0006994","WR"
"262","1999_00-0007024","WR"
"263","1999_00-0007091","QB"
"264","1999_00-0007093","WR"
"265","1999_00-0007103","WR"
"266","1999_00-0007120","WR"
"267","1999_00-0007144","WR"
"268","1999_00-0007147","TE"
"269","1999_00-0007180","RB"
