season,_id,_rank,_draftsSelectedIn,_averagePick,_draftSelPct,_minPick,_maxPick
2017,12171,1,9239,1.54,99,1,206
2017,11192,2,9310,2.21,100,1,11
2017,9988,3,9308,3.66,100,1,117
2017,11679,4,9242,5.58,99,1,159
2017,10271,5,9307,5.64,100,1,118
2017,11671,6,9249,7.46,99,1,53
2017,12625,7,9239,9.12,99,1,254
2017,10261,8,9254,9.12,99,1,56
2017,9448,9,9306,10.19,100,1,100
2017,12151,10,9252,10.43,99,1,75
2017,11660,11,9307,10.83,100,1,187
2017,9118,12,9250,13.55,99,2,185
2017,12652,13,9301,13.93,99,1,157
2017,12634,14,9248,16.55,99,2,192
2017,12154,15,9303,16.76,99,3,144
2017,12175,16,9252,17.42,99,1,86
2017,10729,17,9251,19.4,99,4,128
2017,10302,18,9277,19.45,99,3,271
2017,9823,19,9250,19.73,99,2,154
2017,12150,20,9309,20.53,100,1,59
2017,9902,21,9297,20.98,99,1,121
2017,11674,22,9304,24.4,99,2,89
2017,10527,23,9251,24.65,99,5,190
2017,13129,24,9291,24.73,99,1,301
2017,11232,25,9250,25.23,99,1,151
2017,7836,26,9181,25.97,98,1,71
2017,10708,27,9251,30.93,99,6,256
2017,9884,28,9249,31.57,99,9,164
2017,11222,29,9251,33.36,99,10,152
2017,11244,30,9303,33.62,99,4,171
2017,13130,31,9288,34,99,2,303
2017,11678,32,9249,35.54,99,8,204
2017,11668,33,9246,37.39,99,5,187
2017,5848,34,9237,37.99,99,1,169
2017,10722,35,9307,38.19,100,3,136
2017,10500,36,9240,40.32,99,9,454
2017,11675,37,9248,40.56,99,13,227
2017,13128,38,9237,40.95,99,2,305
2017,13131,39,9234,41,99,12,304
2017,11670,40,9302,42.39,99,7,202
2017,11680,41,9248,44.02,99,14,189
2017,11657,42,9250,44.79,99,15,119
2017,12801,43,9304,45.82,99,5,193
2017,9427,44,9250,46.34,99,10,204
2017,12261,45,9243,47.33,99,13,211
2017,9831,46,9252,47.42,99,15,166
2017,11248,47,9248,47.42,99,6,160
2017,8670,48,9078,47.5,97,2,364
2017,12186,49,9298,52.51,99,7,230
2017,4925,50,9236,52.51,99,1,181
2017,7393,51,9252,53.67,99,8,354
2017,8687,52,9301,53.8,99,10,167
2017,11688,53,9292,55.52,99,6,238
2017,10276,54,9301,58.21,99,6,211
2017,11454,55,9245,59.64,99,2,237
2017,12184,56,9244,61.39,99,14,243
2017,11673,57,9295,61.78,99,13,223
2017,12155,58,9246,62.65,99,6,406
2017,9918,59,9244,63.24,99,7,333
2017,12152,60,9283,65.74,99,4,226
