season,minPick,maxPick,draftsSelectedIn,id,averagePick,rank,draftSelPct
2022,66,652,576,15712,154.18,159,80
2022,82,260,334,525,156.44,160,46
2022,33,648,552,15762,157.28,161,77
2022,67,392,558,11680,157.38,162,78
2022,15,483,336,13590,157.72,163,46
2022,62,420,572,13108,157.84,164,80
2022,70,649,528,15755,157.84,165,73
2022,77,264,336,530,159.92,166,46
2022,55,304,354,15368,162.7,167,49
2022,75,377,529,13277,162.99,168,73
2022,69,437,557,15271,164.37,169,77
2022,65,402,515,10738,165.48,170,72
2022,71,281,290,516,167.46,171,40
2022,75,390,491,13236,168.33,172,68
2022,67,388,502,13153,168.82,173,70
2022,74,392,302,13718,169.87,174,42
2022,43,521,289,12141,169.95,175,40
2022,81,656,503,15788,170.35,176,70
2022,38,662,300,15692,171.13,177,41
2022,78,314,306,504,171.51,178,42
2022,15,519,477,10271,174.04,179,66
2022,59,457,523,13623,174.15,180,73
2022,81,448,340,13377,174.23,181,47
2022,96,677,530,15716,174.53,182,74
2022,54,323,434,12678,174.62,183,60
2022,64,433,446,13427,174.79,184,62
2022,82,321,317,502,175.29,185,44
2022,71,263,296,529,175.34,186,41
2022,73,390,451,13189,175.5,187,63
2022,55,432,119,13629,176.02,188,16
2022,38,532,292,13115,177.78,189,40
2022,61,422,527,13139,177.84,190,73
2022,90,645,477,15746,178.13,191,66
2022,80,479,359,14983,178.26,192,50
2022,90,327,249,514,179.54,193,34
2022,87,465,339,14244,179.67,194,47
2022,53,381,457,13680,179.93,195,63
2022,74,301,242,523,181.65,196,33
2022,74,504,428,12110,184.3,197,59
2022,93,500,478,12930,184.34,198,66
2022,77,490,344,13354,184.35,199,48
2022,81,331,202,510,184.8,200,28
2022,84,658,449,15714,184.89,201,62
2022,94,326,277,511,185.59,202,38
2022,64,650,424,15768,186.17,203,59
2022,80,449,490,12447,186.39,204,68
2022,53,624,194,9902,187.24,205,27
2022,103,425,467,15261,187.86,206,65
2022,96,527,461,13850,188.02,207,64
2022,104,474,459,14977,188.73,208,64
2022,86,689,379,15779,188.85,209,53
2022,69,489,461,10276,189.07,210,64
2022,46,270,166,508,189.73,211,23
2022,11,356,157,503,190.2,212,21
2022,80,521,297,15749,191.1,213,41
2022,71,453,418,13418,191.11,214,58
2022,95,447,447,15290,191.56,215,62
2022,69,483,403,14858,191.66,216,56
2022,69,490,443,15319,191.93,217,61
2022,116,282,207,531,193.23,218,28
2022,96,507,347,12677,194.01,219,48
2022,60,483,262,11760,194.42,220,36
2022,56,575,361,13424,194.8,221,50
2022,90,455,394,12184,194.94,222,55
2022,74,434,310,11647,195.83,223,43
2022,72,657,240,15794,195.9,224,33
2022,86,597,298,9686,197.33,225,41
2022,92,682,382,15757,197.72,226,53
2022,111,343,159,507,198.78,227,22
2022,103,559,261,8851,200.02,228,36
2022,94,659,296,15758,200.68,229,41
2022,121,395,148,518,200.82,230,20
2022,109,454,292,15330,201.95,231,40
2022,100,482,404,13607,202.85,232,56
2022,77,665,224,14912,203.3,233,31
2022,34,668,206,15694,203.5,234,28
2022,81,537,191,13403,203.54,235,26
2022,96,528,393,13134,204.49,236,54
2022,74,535,152,13364,204.58,237,21
2022,53,361,109,524,204.83,238,15
2022,87,494,343,11679,204.86,239,47
2022,10,468,370,14112,204.86,240,51
2022,49,392,99,506,205.17,241,13
2022,102,359,202,11947,206.09,242,28
2022,101,362,86,512,206.56,243,12
2022,95,670,218,15759,207.22,244,30
2022,121,443,350,14857,207.35,245,48
2022,108,532,346,14844,210.15,246,48
2022,76,667,242,15697,210.32,247,33
2022,102,591,214,11387,210.74,248,29
2022,101,486,385,12630,210.94,249,53
2022,108,698,166,8930,211.11,250,23
2022,68,573,355,10261,213.74,251,49
2022,81,660,315,15720,213.8,252,44
2022,120,405,76,520,213.96,253,10
2022,104,678,256,13313,214.42,254,35
2022,126,714,84,8153,214.8,255,11
2022,41,438,274,14847,216.24,256,38
2022,102,522,277,14838,217.94,257,38
2022,105,571,308,11670,218.48,258,43
2022,113,439,319,13157,219.24,259,44
2022,142,409,109,13898,219.9,260,15
2022,52,529,294,14837,220.03,261,41
2022,99,545,312,14331,221.95,262,43
2022,114,606,206,12616,222.29,263,28
2022,110,569,264,11761,224.06,264,36
2022,85,483,230,14870,224.41,265,32
2022,80,532,207,11150,224.5,266,28
2022,102,448,87,11936,225.53,267,12
2022,126,476,227,15308,226.53,268,31
2022,128,570,231,12647,226.6,269,32
2022,113,673,262,11182,227.64,270,36
2022,70,653,221,14057,227.97,271,30
2022,106,481,95,13832,228.98,272,13
2022,19,492,263,15257,229.07,273,36
2022,82,673,102,15691,231.01,274,14
2022,130,539,269,14801,231.4,275,37
2022,58,663,166,15840,232.63,276,23
2022,96,602,160,11747,232.69,277,22
2022,42,693,162,15761,233.2,278,22
2022,31,592,233,13246,233.48,279,32
2022,53,519,125,10312,234.38,280,17
2022,128,600,195,12317,234.85,281,27
2022,138,520,257,14017,235.05,282,35
2022,130,540,260,15275,235.4,283,36
2022,75,481,112,13592,235.52,284,15
2022,71,691,132,15763,239.33,285,18
2022,119,661,190,15733,239.88,286,26
2022,109,539,174,15034,239.91,287,24
2022,124,541,193,15109,240.25,288,26
2022,95,679,188,15797,240.7,289,26
2022,132,539,180,13133,240.78,290,25
2022,124,683,159,15787,240.99,291,22
2022,109,575,191,12658,241.57,292,26
2022,44,547,177,13638,242.42,293,24
2022,116,664,169,15734,242.44,294,23
2022,137,613,177,13871,243.17,295,24
2022,103,563,187,14081,244.05,296,26
2022,100,563,179,13675,245.2,297,25
2022,127,695,175,15767,247.35,298,24
2022,142,581,199,13176,248.55,299,27
2022,147,643,182,13193,248.79,300,25
2022,115,568,198,13378,249.1,301,27
2022,124,687,167,15718,250.15,302,23
2022,20,663,174,10308,250.51,303,24
2022,139,559,165,11886,251.48,304,23
2022,115,537,168,13814,252.46,305,23
2022,130,584,177,13863,253.54,306,24
2022,109,671,123,15802,253.65,307,17
2022,109,553,76,14782,255.47,308,10
2022,103,581,161,14798,256.42,309,22
2022,154,605,153,12164,256.69,310,21
2022,92,688,83,15693,258.49,311,11
2022,130,700,100,15777,258.92,312,13
2022,143,684,137,15873,260.54,313,19
2022,146,555,139,13631,260.56,314,19
2022,148,706,124,15710,262.04,315,17
2022,159,577,121,13382,262.95,316,16
2022,126,707,116,14789,265.42,317,16
2022,128,547,97,14810,269.22,318,13
