season,_id,_rank,_draftsSelectedIn,_averagePick,_draftSelPct,_minPick,_maxPick
2020,13130,1,3855,1.31,96,1,11
2020,13604,2,3884,2.59,97,1,11
2020,12625,3,3901,4.08,97,1,28
2020,12652,4,3830,5.89,95,1,11
2020,13132,5,3932,6.59,98,1,174
2020,13128,6,3957,7.76,98,1,45
2020,13116,7,3853,10.69,96,1,146
2020,13593,8,3816,11.18,95,1,228
2020,12626,9,3933,11.46,98,1,109
2020,11675,10,3780,12.5,94,2,81
2020,13131,11,3918,15.23,97,2,87
2020,14073,12,3934,16.33,98,2,65
2020,11244,13,3922,17.53,97,1,82
2020,12801,14,3966,17.59,99,2,113
2020,13610,15,3944,17.8,98,1,152
2020,14803,16,3922,18.06,97,1,421
2020,11232,17,3954,18.14,98,1,84
2020,14079,18,3861,18.81,96,3,105
2020,13319,19,3874,19.99,96,2,142
2020,13404,20,3915,20.26,97,3,113
2020,13299,21,3935,21.01,98,2,138
2020,10271,22,3911,21.05,97,1,85
2020,12630,23,3888,23.72,97,3,113
2020,13163,24,3928,24.15,98,2,216
2020,11671,25,3937,30.49,98,5,65
2020,13277,26,3919,32.19,97,8,88
2020,13113,27,3740,35.09,93,2,240
2020,12175,28,3917,35.3,97,7,105
2020,14802,29,3864,36,96,5,422
2020,13156,30,3936,36.18,98,4,127
2020,12150,31,3868,36.59,96,1,118
2020,13635,32,3914,36.73,97,8,132
2020,11679,33,3940,36.96,98,8,131
2020,12620,34,3808,38.28,95,3,184
2020,13129,35,3742,38.31,93,3,196
2020,11678,36,3914,39.77,97,11,105
2020,13671,37,3896,42.53,97,7,245
2020,13164,38,3953,42.56,98,4,100
2020,10703,39,3895,44.23,97,2,118
2020,14104,40,3913,45.18,97,12,207
2020,14056,41,3852,45.99,96,2,163
2020,11938,42,3967,46.56,99,8,166
2020,13146,43,3957,46.57,98,2,212
2020,11247,44,3948,48.15,98,5,256
2020,13364,45,3976,48.73,99,10,161
2020,13629,46,3947,48.75,98,12,128
2020,11192,47,3909,48.79,97,7,151
2020,12151,48,3950,50.85,98,8,197
2020,12171,49,3911,51.97,97,6,227
2020,14799,50,3856,52.5,96,10,426
2020,11228,51,3930,55.29,98,14,149
2020,11222,52,3947,55.57,98,16,161
2020,14102,53,3924,55.78,98,3,159
2020,13630,54,3925,56.71,98,6,160
2020,14080,55,3838,58.6,95,6,149
2020,12187,56,3951,58.84,98,15,158
2020,12447,57,3788,59.43,94,9,273
2020,13668,58,3930,59.67,98,16,265
2020,12186,59,3958,62.31,98,6,180
2020,14109,60,3936,62.78,98,1,236
2020,10276,61,3890,63.16,97,6,246
2020,12263,62,3910,65.37,97,9,260
2020,14797,63,3836,66.59,95,14,424
2020,13138,64,3897,68.1,97,7,210
2020,13589,65,3864,70.13,96,8,233
2020,12176,66,3835,70.83,95,10,214
2020,14800,67,3864,71.32,96,12,423
2020,14071,68,3906,73.09,97,15,230
2020,9099,69,3853,73.59,96,4,341
2020,13189,70,3881,75.52,96,17,263
2020,10729,71,3967,76.89,99,8,208
2020,12650,72,3874,77.13,96,6,238
2020,10261,73,3872,78.19,96,13,208
2020,11680,74,3889,79.05,97,18,196
2020,13646,75,3914,80.48,97,5,207
2020,14105,76,3921,80.73,97,8,229
2020,4925,77,3910,81.1,97,1,260
2020,12610,78,3895,81.37,97,6,327
2020,7836,79,3922,82.88,97,3,244
2020,5848,80,3908,86.42,97,3,274
2020,11674,81,3932,91.86,98,19,235
2020,12676,82,3829,91.88,95,1,334
2020,14832,83,3840,93.3,95,4,426
2020,14136,84,3887,94.34,97,17,315
2020,12647,85,3966,96.05,99,12,338
2020,9902,86,3769,96.19,94,10,840
2020,9662,87,3910,96.78,97,20,351
2020,11747,88,3783,97.21,94,16,287
2020,13605,89,1429,98.38,35,36,600
2020,13606,90,3794,98.66,94,25,262
2020,12678,91,3836,99.07,95,2,332
2020,14833,92,3875,99.48,96,15,428
2020,9431,93,3883,99.88,96,16,302
2020,14059,94,3781,100.73,94,15,345
2020,12677,95,3748,101.45,93,3,350
2020,13680,96,3791,102.22,94,31,302
2020,9474,97,3774,103.03,94,15,313
2020,13612,98,3841,104.51,95,14,277
2020,13290,99,3830,104.62,95,28,314
2020,12634,100,3897,105.05,97,19,320
2020,13633,101,3888,105.33,97,6,322
2020,13234,102,3915,107.27,97,12,291
2020,14208,103,3875,107.34,96,33,357
2020,13590,104,3702,108.05,92,12,350
2020,14852,105,3766,109.99,94,7,442
2020,10738,106,3924,110.93,98,17,343
2020,14777,107,3611,112.09,90,2,432
2020,12611,108,3777,113.37,94,12,313
2020,14137,109,3724,113.92,93,31,352
2020,14834,110,3844,113.93,96,33,431
2020,13614,111,3935,114.41,98,13,357
2020,14798,112,3753,115.29,93,11,441
2020,510,113,2425,117.07,60,18,694
2020,14122,114,3804,117.16,95,21,339
2020,14836,115,3765,117.55,94,24,432
2020,14778,116,1936,118.33,48,5,433
2020,530,117,2507,119.8,62,12,698
2020,12658,118,3854,119.92,96,37,341
2020,13592,119,1914,120.68,47,27,432
2020,14138,120,3689,121.14,92,22,296
2020,13607,121,3846,122.94,96,27,309
2020,14057,122,2452,123.35,61,26,324
2020,12184,123,3815,123.9,95,37,321
2020,14810,124,2377,124.29,59,21,444
2020,9918,125,3942,124.76,98,18,451
2020,10700,126,2941,125.2,73,15,336
2020,13672,127,3635,125.61,90,30,374
2020,10273,128,3774,126.2,94,6,593
2020,7401,129,3786,126.29,94,6,643
2020,11760,130,2976,126.79,74,7,380
2020,10697,131,3425,126.87,85,20,348
2020,531,132,2526,126.94,63,17,323
2020,14839,133,3208,127.57,80,35,434
2020,14113,134,3725,127.98,93,24,299
2020,10976,135,2252,128.02,56,20,359
2020,14223,136,3689,128.81,92,27,424
2020,11886,137,1410,130.21,35,14,462
2020,13378,138,3806,130.63,95,10,471
2020,9831,139,3599,131.77,89,43,409
2020,11640,140,2245,134.45,56,36,513
2020,13354,141,2327,134.84,58,23,433
2020,13674,142,3349,135.39,83,24,352
2020,14779,143,1494,136.12,37,20,486
2020,11783,144,3706,136.14,92,36,429
2020,11390,145,3877,136.86,96,21,478
2020,13722,146,3575,137.74,89,8,370
2020,12152,147,3773,138.83,94,36,422
2020,501,148,2543,140.14,63,23,696
2020,11644,149,2204,140.2,55,18,406
2020,14067,150,2721,140.7,67,9,390
2020,13193,151,3539,140.84,88,43,341
2020,13154,152,3080,141.11,76,39,393
2020,14126,153,3489,141.56,87,50,415
2020,13639,154,3656,141.91,91,51,457
2020,14101,155,3477,142.3,86,26,337
2020,12956,156,2275,142.7,56,32,442
2020,7394,157,2996,143.94,74,25,708
2020,12157,158,3658,148.63,91,28,450
2020,14058,159,1630,149.65,40,48,515
2020,14805,160,3028,149.8,75,53,454
2020,14087,161,3106,151.02,77,48,516
2020,14842,162,2960,151.4,73,43,441
2020,14085,163,3337,151.45,83,69,426
2020,14840,164,2871,152.77,71,42,448
2020,504,165,2485,153.42,62,12,713
2020,13814,166,3623,153.64,90,24,484
2020,11516,167,3378,154.17,84,46,430
2020,12197,168,3333,155.19,83,23,444
2020,11670,169,3473,156.5,86,8,429
2020,14835,170,1833,156.73,45,45,445
2020,529,171,2297,156.78,57,49,274
2020,10868,172,2334,157.4,58,38,497
2020,14141,173,1990,157.85,49,9,597
2020,13726,174,3386,158.58,84,42,585
2020,13157,175,3128,159.05,78,62,395
2020,512,176,2414,159.38,60,33,291
2020,521,177,2412,160.04,60,50,693
2020,14846,178,1949,160.36,48,51,443
2020,13678,179,2304,160.81,57,34,366
2020,14782,180,951,162.51,23,50,473
2020,13679,181,3207,162.71,80,62,498
2020,8153,182,2268,162.73,56,12,524
2020,12930,183,3312,163.35,82,47,455
2020,524,184,2181,166.51,54,30,315
2020,11186,185,2968,167.28,74,30,726
2020,13620,186,3328,167.82,83,35,432
2020,14838,187,2187,167.88,54,63,451
2020,14075,188,2854,168.07,71,50,595
2020,528,189,2056,168.63,51,54,285
2020,13622,190,3155,169.54,78,49,468
2020,13632,191,3385,170.16,84,39,536
2020,8658,192,3004,170.34,75,24,732
2020,14112,193,2797,170.43,69,73,512
2020,11695,194,2792,171.2,69,22,466
2020,508,195,1852,171.49,46,48,714
2020,14844,196,2316,172.01,57,54,487
2020,13188,197,2268,172.6,56,22,453
2020,9075,198,3357,173.31,83,44,636
2020,8687,199,2942,174.53,73,40,566
2020,525,200,1755,175.06,43,48,695
2020,502,201,1888,177.21,47,53,332
2020,14807,202,2362,177.29,58,6,541
2020,14804,203,1758,177.67,43,63,530
2020,12860,204,2001,177.69,49,25,693
2020,10413,205,1695,178.55,42,50,592
2020,14140,206,2027,180.01,50,50,467
2020,14123,207,2881,180.08,71,19,473
2020,514,208,1674,180.37,41,49,346
2020,14808,209,2162,180.38,53,68,493
2020,10699,210,1386,180.46,34,59,558
2020,10506,211,1752,180.55,43,58,515
2020,13403,212,2127,181.16,53,53,601
2020,8930,213,1950,182.04,48,48,605
2020,511,214,1267,182.5,31,45,699
2020,14063,215,1151,183.06,28,57,594
2020,9686,216,603,184,15,33,407
2020,14082,217,2493,185.22,62,40,773
2020,518,218,1624,185.28,40,23,378
2020,12140,219,1312,186,32,42,495
2020,14783,220,1160,186.19,28,60,481
2020,515,221,866,187.71,21,68,456
2020,14244,222,1099,188.51,27,53,598
2020,14093,223,2402,188.62,59,52,583
2020,13623,224,1378,188.74,34,34,970
2020,14841,225,1599,189.5,39,39,575
2020,516,226,768,189.61,19,53,313
2020,8742,227,780,189.66,19,58,504
2020,13631,228,1992,189.83,49,48,476
2020,13347,229,1639,189.88,40,71,610
2020,13153,230,2330,190.51,58,93,523
2020,12417,231,694,190.67,17,71,616
2020,13303,232,1505,191.03,37,16,603
2020,14867,233,1293,191.09,32,46,456
2020,7393,234,2986,191.39,74,27,592
2020,10722,235,2494,191.44,62,30,559
2020,11936,236,930,191.49,23,28,623
2020,11947,237,1046,191.77,26,29,632
2020,13158,238,2205,192.03,55,56,532
2020,14143,239,1563,192.23,39,48,556
2020,13115,240,1440,193.42,35,41,602
2020,13608,241,1602,194.01,40,45,533
2020,8062,242,1566,194.22,39,48,659
2020,9988,243,2133,195.89,53,15,538
2020,12437,244,544,196.87,13,45,578
2020,523,245,603,197.35,15,80,702
2020,13763,246,1848,197.75,46,74,500
2020,10312,247,2028,198.84,50,28,547
2020,532,248,508,200.39,12,65,712
2020,13139,249,2366,201.01,59,68,653
2020,14837,250,1301,201.07,32,85,500
2020,13236,251,1664,201.69,41,38,453
2020,13613,252,2369,201.88,59,46,629
2020,11657,253,2514,202.18,62,28,846
2020,14870,254,1128,202.62,28,80,591
2020,14843,255,1520,203.4,37,66,551
2020,9448,256,1099,204.34,27,56,963
2020,507,257,460,205.22,11,103,700
2020,11660,258,2076,206.12,51,57,566
2020,13192,259,1294,206.46,32,54,519
2020,14780,260,764,208.1,19,87,534
2020,12386,261,1864,208.59,46,43,677
2020,14858,262,1311,209.82,32,28,578
2020,10308,263,2232,210,55,80,598
2020,13168,264,2077,211.13,51,86,515
2020,14936,265,1157,211.29,28,38,911
2020,14813,266,1208,212.3,30,11,765
2020,13155,267,1603,212.35,40,87,587
2020,10973,268,2119,212.39,52,39,784
2020,13980,269,401,213.87,10,80,594
2020,14847,270,1206,214,30,100,581
2020,14072,271,2023,215.4,50,51,647
2020,14863,272,1203,215.44,30,90,604
2020,14801,273,1192,215.56,29,98,514
2020,11761,274,2013,216.15,50,70,970
2020,13108,275,429,216.3,10,64,621
2020,14806,276,1192,217.07,29,85,560
2020,14613,277,1811,217.46,45,73,606
2020,12317,278,1616,218.67,40,38,692
2020,14815,279,1187,221.55,29,74,637
2020,14864,280,926,221.67,23,85,615
2020,11250,281,1602,223.94,40,59,660
2020,14096,282,818,225.85,20,93,1017
2020,12857,283,1072,227.4,26,49,845
2020,14086,284,910,227.8,22,56,661
2020,11193,285,1784,228.92,44,35,772
2020,13424,286,1128,229.06,28,46,667
2020,12141,287,998,229.47,24,119,598
2020,14873,288,776,233.65,19,81,612
2020,11227,289,1377,234.07,34,76,530
2020,14116,290,1165,234.13,29,77,574
2020,14125,291,1354,236.48,33,85,607
2020,12391,292,1343,237.9,33,14,662
2020,14107,293,1185,238.04,29,96,591
2020,12257,294,1465,238.18,36,32,813
2020,13809,295,1405,239.3,35,79,890
2020,13240,296,1337,240.09,33,66,787
2020,13617,297,1091,242.87,27,76,579
2020,10313,298,897,244.27,22,46,666
2020,14121,299,1095,244.74,27,15,638
2020,12205,300,1008,245.76,25,111,646
2020,14850,301,911,246.25,22,99,589
2020,11182,302,1256,249.04,31,37,861
2020,13768,303,1279,249.27,31,116,1000
2020,14284,304,1017,250.13,25,15,679
2020,14857,305,795,250.13,19,118,630
2020,10723,306,1288,250.16,32,101,729
2020,9925,307,1142,252.84,28,19,821
2020,13793,308,1269,253.31,31,74,704
2020,14869,309,746,254.1,18,99,630
2020,7877,310,822,254.35,20,85,962
2020,14781,311,653,256.59,16,71,872
2020,11337,312,998,257.37,24,91,976
2020,14875,313,642,259.75,16,143,642
2020,14209,314,688,260.65,17,106,685
2020,12912,315,1060,260.7,26,38,977
2020,13880,316,792,260.82,19,25,767
2020,14939,317,563,261.1,14,137,681
2020,13645,318,1111,264.58,27,96,586
2020,12616,319,750,266.08,18,97,697
2020,13850,320,948,266.5,23,77,891
2020,9308,321,924,267.09,23,18,949
2020,14845,322,715,267.35,17,73,594
2020,14142,323,831,267.62,20,156,715
2020,13418,324,978,268.31,24,84,781
2020,14868,325,556,269.83,13,99,702
2020,6997,326,554,269.89,13,36,1005
2020,11225,327,544,269.9,13,82,994
2020,13148,328,878,270.31,21,139,695
2020,10960,329,795,271.35,19,33,843
2020,10708,330,563,271.47,14,81,1005
2020,13879,331,695,272.31,17,134,777
2020,14435,332,857,272.82,21,116,947
2020,14280,333,506,273.07,12,7,1010
2020,13642,334,817,273.26,20,97,815
2020,12110,335,731,274.17,18,79,841
2020,10389,336,841,274.17,21,114,979
2020,14851,337,713,274.72,17,112,623
2020,14239,338,574,275.47,14,45,632
2020,14114,339,677,275.69,16,125,658
2020,14874,340,429,276.24,10,83,755
2020,14195,341,632,278.21,15,116,700
2020,14106,342,657,278.32,16,152,589
2020,13416,343,615,280.49,15,137,856
2020,14821,344,708,281.79,17,176,755
2020,13868,345,701,283.58,17,154,892
2020,12785,346,795,284.08,19,28,938
2020,13488,347,733,284.19,18,117,932
2020,14305,348,650,285.26,16,78,803
2020,11257,349,613,285.37,15,65,944
2020,14972,350,497,286.67,12,143,933
2020,14816,351,567,290.49,14,34,902
2020,14969,352,492,291.28,12,109,935
2020,13591,353,517,291.87,12,146,763
2020,14862,354,624,291.93,15,100,773
2020,12328,355,594,292.62,14,49,905
2020,13776,356,630,293.01,15,73,733
2020,14076,357,618,293.15,15,143,946
2020,12505,358,604,293.58,15,113,936
2020,11705,359,564,295.78,14,156,886
2020,11399,360,504,296.12,12,126,910
2020,14848,361,599,296.36,14,88,700
2020,14853,362,540,297.87,13,98,768
2020,14146,363,515,298.09,12,105,795
2020,14849,364,434,298.61,10,188,729
2020,13634,365,596,301.45,14,101,774
2020,11890,366,546,301.57,13,62,1007
2020,14974,367,414,301.66,10,116,734
2020,14127,368,563,303.04,14,145,743
2020,14871,369,467,303.16,11,107,701
2020,14876,370,438,303.37,10,173,827
2020,13662,371,573,304.82,14,136,887
2020,13194,372,412,304.89,10,116,957
2020,10696,373,523,305.73,13,146,921
2020,14083,374,409,305.96,10,61,911
2020,13968,375,469,306.04,11,146,931
2020,13637,376,412,307.63,10,120,824
2020,12188,377,431,311.14,10,110,864
