,yearly_id,full_name,position,lw,lw_June_01,difference,lw_edit,ZR_Rankings_Manual,ZR_manual_boost
395,2022_00-0032160,Tyrell Williams,WR,0.3,0.2,-0.1,0.2,,
441,2022_00-0036727,Adam Prentice,FB,0.2,0.2,0,0.2,,
442,2022_00-0036877,Jaelon Darden,WR,0.2,0.2,0,0.2,,
443,2022_00-0036080,Easop Winston,WR,0.2,0.2,0,0.2,,
444,2022_00-0034646,Brandon Powell,WR,0.2,0.2,0,0.2,,
445,2022_00-0035891,Cody White,WR,0.2,0.2,0,0.2,,
446,2022_00-0034054,River Cracraft,WR,0.2,0.2,0,0.2,,
448,2022_00-0035844,Kirk Merritt,WR,0.2,0.2,0,0.2,,
449,2022_00-0035848,DeMichael Harris,WR,0.2,0.2,0,0.2,,
450,2022_00-0034686,Auden Tate,WR,0.2,0.2,0,0.2,,
451,2022_00-0036951,Frank Darby,WR,0.2,0.2,0,0.2,,
452,2022_00-0035273,Qadree Ollison,RB,0.2,0.2,0,0.2,,
453,2022_00-0035126,Antoine Wesley,WR,0.2,0.2,0,0.2,,
454,2022_00-0034104,Cam Sims,WR,0.2,0.2,0,0.2,,
455,2022_00-0032780,Jordan Howard,RB,0.2,0.2,0,0.2,,
456,2022_00-0037005,Tommy Tremble,TE,0.2,0.2,0,0.2,,
457,2022_00-0036842,Kene Nwangwu,RB,0.2,0.2,0,0.2,,
458,2022_00-0033376,Patrick Ricard,FB,0.2,0.2,0,0.2,,
459,2022_00-0036382,KJ Hill,WR,0.2,0.2,0,0.2,,
460,2022_00-0035883,Maurice Ffrench,WR,0.2,0.2,0,0.2,,
461,2022_00-0033386,Cody Hollister,WR,0.2,0.2,0,0.2,,
462,2022_00-0033251,Zach Pascal,WR,0.2,0.2,0,0.2,,
464,2022_00-0037011,Tre' McKitty,TE,0.2,0.2,0,0.2,,
465,2022_00-0036000,Adrian Killins,RB,0.2,0.2,0,0.2,,
467,2022_00-0036182,Nick Westbrook-Ikhine,WR,0.2,0.2,0,0.2,,
468,2022_00-0029137,Alshon Jeffery,WR,0.2,0.2,0,0.2,,
469,2022_00-0030874,Damien Williams,RB,0.2,0.2,0,0.2,,
470,2022_00-0036860,Jake Funk,RB,0.2,0.2,0,0.2,,
471,2022_00-0036654,Demetric Felton,RB,0.2,0.2,0,0.2,,
472,2022_00-0035835,Nathan Cottrell,RB,0.2,0.2,0,0.2,,
473,2022_00-0034311,Johnny Stanton,FB,0.2,0.2,0,0.2,,
474,2022_00-0034418,Cedrick Wilson,WR,0.2,0.2,0,0.2,,
475,2022_00-0033858,Jonnu Smith,TE,0.2,0.2,0,0.2,,
476,2022_00-0034365,Ian Thomas,TE,0.2,0.2,0,0.2,,
477,2022_00-0032464,Kalif Raymond,WR,0.2,0.2,0,0.2,,
478,2022_00-0036698,Mekhi Sargent,RB,0.2,0.2,0,0.2,,
479,2022_00-0036187,Reggie Gilliam,FB,0.2,0.2,0,0.2,,
480,2022_00-0035956,Giovanni Ricci,FB,0.2,0.2,0,0.2,,
481,2022_00-0036254,Collin Johnson,WR,0.2,0.2,0,0.2,,
482,2022_00-0035594,Travis Homer,RB,0.2,0.2,0,0.2,,
483,2022_00-0033591,Noah Brown,WR,0.2,0.2,0,0.2,,
484,2022_00-0035624,N'Keal Harry,WR,0.2,0.2,0,0.2,,
485,2022_00-0034433,Nick Bawden,FB,0.2,0.2,0,0.2,,
486,2022_00-0032741,Peyton Barber,RB,0.2,0.2,0,0.2,,
487,2022_00-0032058,Tevin Coleman,RB,0.2,0.2,0,0.2,,
488,2022_00-0034011,Dan Arnold,TE,0.2,0.2,0,0.2,,
489,2022_00-0035298,Scott Miller,WR,0.2,0.2,0,0.2,,
490,2022_00-0033367,C.J. Board,WR,0.2,0.2,0,0.2,,
491,2022_00-0035500,Greg Dortch,WR,0.2,0.2,0,0.2,,
492,2022_00-0035341,Trenton Irwin,WR,0.2,0.2,0,0.2,,
493,2022_00-0034854,Khadarel Hodge,WR,0.2,0.2,0,0.2,,
494,2022_00-0034928,Steven Sims,WR,0.2,0.2,0,0.2,,
495,2022_00-0033658,Blake Jarwin,TE,0.2,0.2,0,0.2,,
496,2022_00-0032626,Geronimo Allison,WR,0.2,0.2,0,0.2,,
497,2022_00-0035908,Gabe Nabers,FB,0.2,0.2,0,0.2,,
498,2022_00-0032398,Chris Moore,WR,0.2,0.2,0,0.2,,
499,2022_00-0035544,Tom Kennedy,WR,0.2,0.2,0,0.2,,
500,2022_00-0027891,Golden Tate,WR,0.2,0.2,0,0.2,,
501,2022_00-0034930,Trinity Benson,WR,0.2,0.2,0,0.2,,
502,2022_00-0032972,Devontae Booker,RB,0.2,0.2,0,0.2,,
503,2022_00-0035359,David Sills,WR,0.2,0.2,0,0.2,,
504,2022_00-0035101,Davion Davis,WR,0.2,0.2,0,0.2,,
505,2022_00-0036510,Kenny Yeboah,TE,0.2,0.2,0,0.2,,
509,2022_00-0034349,Kerryon Johnson,RB,0.2,0.2,0,0.2,,
510,2022_00-0030456,Giovani Bernard,RB,0.2,0.2,0,0.2,,
511,2022_00-0035510,Jeff Smith,WR,0.2,0.2,0,0.2,,
512,2022_00-0030181,Jack Doyle,TE,0.2,0.2,0,0.2,,
513,2022_00-0034578,Reggie Bonnafon,RB,0.2,0.2,0,0.2,,
514,2022_00-0036364,Lynn Bowden,WR,0.2,0.2,0,0.2,,
515,2022_00-0036657,Seth Williams,WR,0.2,0.2,0,0.2,,
516,2022_00-0035432,Jason Moore,WR,0.2,0.2,0,0.2,,
517,2022_00-0031285,Devonta Freeman,RB,0.2,0.2,0,0.2,,
518,2022_00-0033460,John Ross,WR,0.2,0.2,0,0.2,,
519,2022_00-0036768,JaQuan Hardy,RB,0.2,0.2,0,0.2,,
520,2022_00-0027150,Julian Edelman,WR,0.2,0.2,0,0.2,,
521,2022_00-0034370,DaeSean Hamilton,WR,0.2,0.2,0,0.2,,
522,2022_00-0035022,Penny Hart,WR,0.2,0.2,0,0.2,,
523,2022_00-0034676,James Washington,WR,0.2,0.2,0,0.2,,
526,2022_00-0035406,Lil'Jordan Humphrey,WR,0.2,0.2,0,0.2,,
527,2022_00-0035125,Alec Ingold,FB,0.2,0.2,0,0.2,,
528,2022_00-0035864,Kendall Hinton,WR,0.2,0.2,0,0.2,,
529,2022_00-0029615,Lamar Miller,RB,0.2,0.2,0,0.2,,
530,2022_00-0027902,Dez Bryant,WR,0.2,0.2,0,0.2,,
531,2022_00-0034366,Keke Coutee,WR,0.2,0.2,0,0.2,,
532,2022_00-0036569,Gary Brightwell,RB,0.2,0.2,0,0.2,,
533,2022_00-0034652,Cameron Batson,WR,0.2,0.2,0,0.2,,
534,2022_00-0023500,Frank Gore,RB,0.2,0.2,0,0.2,,
535,2022_00-0036493,Deon Jackson,RB,0.2,0.2,0,0.2,,
536,2022_00-0036582,Nate McCrary,RB,0.2,0.2,0,0.2,,
537,2022_00-0035448,Damarea Crockett,RB,0.2,0.2,0,0.2,,
538,2022_00-0035399,Stanley Morgan,WR,0.2,0.2,0,0.2,,
539,2022_00-0035099,Khari Blasingame,FB,0.2,0.2,0,0.2,,
540,2022_00-0033839,Dede Westbrook,WR,0.2,0.2,0,0.2,,
541,2022_00-0032782,Wendell Smallwood,RB,0.2,0.2,0,0.2,,
542,2022_00-0036040,Juwan Johnson,TE,0.2,0.2,0,0.2,,
543,2022_00-0036398,John Hightower,WR,0.2,0.2,0,0.2,,
544,2022_00-0034788,Jaeden Graham,TE,0.2,0.2,0,0.2,,
545,2022_00-0036635,Ihmir Smith-Marsette,WR,0.2,0.2,0,0.2,,
546,2022_00-0036523,Trey Ragas,RB,0.2,0.2,0,0.2,,
547,2022_00-0027061,Jared Cook,TE,0.2,0.2,0,0.2,,
548,2022_00-0036245,Malcolm Perry,WR,0.2,0.2,0,0.2,,
549,2022_00-0032975,Jonathan Williams,RB,0.2,0.2,0,0.2,,
550,2022_00-0035291,Trayveon Williams,RB,0.2,0.2,0,0.2,,
551,2022_00-0034081,Steven Mitchell,WR,0.2,0.2,0,0.2,,
552,2022_00-0034273,Damion Ratley,WR,0.2,0.2,0,0.2,,
553,2022_00-0034653,Deontay Burnett,WR,0.2,0.2,0,0.2,,
554,2022_00-0034772,Antonio Callaway,WR,0.2,0.2,0,0.2,,
555,2022_00-0034267,Jaleel Scott,WR,0.2,0.2,0,0.2,,
556,2022_00-0034207,Jeff Badet,WR,0.2,0.2,0,0.2,,
557,2022_00-0035310,Chandler Cox,FB,0.2,0.2,0,0.2,,
558,2022_00-0034426,Javon Wims,WR,0.2,0.2,0,0.2,,
559,2022_00-0032208,Phillip Dorsett,WR,0.2,0.2,0,0.2,,
560,2022_00-0034614,Godwin Igwebuike,RB,0.2,0.2,0,0.2,,
561,2022_00-0034193,Kevin Rader,TE,0.2,0.2,0,0.2,,
562,2022_00-0033292,Trent Taylor,WR,0.2,0.2,0,0.2,,
563,2022_00-0032054,Breshad Perriman,WR,0.2,0.2,0,0.2,,
564,2022_00-0027029,LeSean McCoy,RB,0.2,0.2,0,0.2,,
565,2022_00-0033382,Austin Carr,WR,0.2,0.2,0,0.2,,
566,2022_00-0033474,Gehrig Dieter,WR,0.2,0.2,0,0.2,,
567,2022_00-0033911,Taywan Taylor,WR,0.2,0.2,0,0.2,,
568,2022_00-0031806,Malcolm Brown,RB,0.2,0.2,0,0.2,,
569,2022_00-0036438,Stephen Sullivan,TE,0.2,0.2,0,0.2,,
570,2022_00-0034395,Daurice Fountain,WR,0.2,0.2,0,0.2,,
571,2022_00-0033957,Rodney Adams,WR,0.2,0.2,0,0.2,,
572,2022_00-0028063,Taiwan Jones,RB,0.2,0.2,0,0.2,,
573,2022_00-0037004,Hunter Long,TE,0.2,0.2,0,0.2,,
574,2022_00-0033891,Zay Jones,WR,0.2,0.2,0,0.2,,
575,2022_00-0034378,Ito Smith,RB,0.2,0.2,0,0.2,,
576,2022_00-0031051,John Brown,WR,0.2,0.2,0,0.2,,
577,2022_00-0034860,Dante Pettis,WR,0.2,0.2,0,0.2,,
578,2022_00-0034808,John Kelly,RB,0.2,0.2,0,0.2,,
579,2022_00-0034432,Bo Scarbrough,RB,0.2,0.2,0,0.2,,
580,2022_00-0036628,John Bates,TE,0.2,0.2,0,0.2,,
581,2022_00-0034631,Vyncint Smith,WR,0.2,0.2,0,0.2,,
582,2022_00-0036439,Tyrie Cleveland,WR,0.2,0.2,0,0.2,,
583,2022_00-0034766,Chris Herndon,TE,0.2,0.2,0,0.2,,
584,2022_00-0035593,Juwann Winfree,WR,0.2,0.2,0,0.2,,
585,2022_00-0035480,Malik Taylor,WR,0.2,0.2,0,0.2,,
586,2022_00-0035287,KeeSean Johnson,WR,0.2,0.2,0,0.2,,
587,2022_00-0030968,Keith Smith,FB,0.2,0.2,0,0.2,,
588,2022_00-0036637,Noah Gray,TE,0.2,0.2,0,0.2,,
589,2022_00-0035924,Jonathan Ward,RB,0.2,0.2,0,0.2,,
590,2022_00-0036208,Artavis Pierce,RB,0.2,0.2,0,0.2,,
591,2022_00-0036139,Rico Dowdle,RB,0.2,0.2,0,0.2,,
592,2022_00-0036308,Isaiah Coulter,WR,0.2,0.2,0,0.2,,
593,2022_00-0033296,Alex Armah,FB,0.2,0.2,0,0.2,,
594,2022_00-0034838,Royce Freeman,RB,0.2,0.2,0,0.2,,
595,2022_00-0028292,Nick Bellore,FB,0.2,0.2,0,0.2,,
641,2022_00-0035148,Darwin Thompson,RB,0.1,0.2,0.1,0.2,,
648,2022_00-0035045,D.J. Montgomery,WR,0.1,0.2,0.1,0.2,,
508,2022_00-0035246,J.J. Arcega-Whiteside,WR,0.2,0.1,-0.1,0.1,,
596,2022_00-0035350,Preston Williams,WR,0.1,0.1,0,0.1,,
597,2022_00-0033111,Pharoh Cooper,WR,0.1,0.1,0,0.1,,
598,2022_00-0036754,Brock Wright,TE,0.1,0.1,0,0.1,,
599,2022_00-0036427,Tyler Johnson,WR,0.1,0.1,0,0.1,,
600,2022_00-0035703,Miles Boykin,WR,0.1,0.1,0,0.1,,
601,2022_00-0033025,Jalen Richard,RB,0.1,0.1,0,0.1,,
602,2022_00-0036188,Antonio Williams,RB,0.1,0.1,0,0.1,,
603,2022_00-0035973,Patrick Taylor,RB,0.1,0.1,0,0.1,,
604,2022_00-0032897,Derek Watt,FB,0.1,0.1,0,0.1,,
605,2022_00-0033114,Mike Thomas,WR,0.1,0.1,0,0.1,,
606,2022_00-0034799,Kalen Ballage,RB,0.1,0.1,0,0.1,,
607,2022_00-0031045,Carlos Hyde,RB,0.1,0.1,0,0.1,,
608,2022_00-0033720,Colin Thompson,TE,0.1,0.1,0,0.1,,
609,2022_00-0036278,Jason Huntley,RB,0.1,0.1,0,0.1,,
610,2022_00-0035898,Darius Bradwell,RB,0.1,0.1,0,0.1,,
611,2022_00-0034286,Richie James,WR,0.1,0.1,0,0.1,,
612,2022_00-0035715,Derrick Gore,RB,0.1,0.1,0,0.1,,
613,2022_00-0035184,Devine Ozigbo,RB,0.1,0.1,0,0.1,,
614,2022_00-0035222,Zach Gentry,TE,0.1,0.1,0,0.1,,
615,2022_00-0033471,Isaiah Ford,WR,0.1,0.1,0,0.1,,
616,2022_00-0032426,Alex Collins,RB,0.1,0.1,0,0.1,,
617,2022_00-0034309,Chad Beebe,WR,0.1,0.1,0,0.1,,
618,2022_00-0033576,Eric Saubert,TE,0.1,0.1,0,0.1,,
619,2022_00-0032881,Tommylee Lewis,WR,0.1,0.1,0,0.1,,
620,2022_00-0033589,David Moore,WR,0.1,0.1,0,0.1,,
621,2022_00-0031545,Kevin White,WR,0.1,0.1,0,0.1,,
622,2022_00-0032918,C.J. Ham,FB,0.1,0.1,0,0.1,,
623,2022_00-0036032,Sean McKeon,TE,0.1,0.1,0,0.1,,
624,2022_00-0035181,Darrius Shepherd,WR,0.1,0.1,0,0.1,,
625,2022_00-0035590,Riley Ridley,WR,0.1,0.1,0,0.1,,
626,2022_00-0036887,Luke Farrell,TE,0.1,0.1,0,0.1,,
627,2022_00-0033481,Marcus Kemp,WR,0.1,0.1,0,0.1,,
628,2022_00-0031787,Jake Kumerow,WR,0.1,0.1,0,0.1,,
629,2022_00-0030669,Albert Wilson,WR,0.1,0.1,0,0.1,,
630,2022_00-0034597,Ryan Nall,RB,0.1,0.1,0,0.1,,
631,2022_00-0032450,Dwayne Washington,RB,0.1,0.1,0,0.1,,
632,2022_00-0025396,Ted Ginn,WR,0.1,0.1,0,0.1,,
633,2022_00-0036069,Scottie Phillips,RB,0.1,0.1,0,0.1,,
634,2022_00-0033266,JoJo Natson,WR,0.1,0.1,0,0.1,,
635,2022_00-0035527,Andy Isabella,WR,0.1,0.1,0,0.1,,
636,2022_00-0035329,Donald Parham,TE,0.1,0.1,0,0.1,,
637,2022_00-0035304,Cullen Gillaspia,FB,0.1,0.1,0,0.1,,
638,2022_00-0034319,Deon Yelder,TE,0.1,0.1,0,0.1,,
639,2022_00-0032128,Chris Conley,WR,0.1,0.1,0,0.1,,
640,2022_00-0036534,Shane Zylstra,TE,0.1,0.1,0,0.1,,
642,2022_00-0035572,Parker Hesse,TE,0.1,0.1,0,0.1,,
643,2022_00-0034457,Josh Adams,RB,0.1,0.1,0,0.1,,
644,2022_00-0034975,Justice Hill,RB,0.1,0.1,0,0.1,,
645,2022_00-0035551,Tony Brooks-James,RB,0.1,0.1,0,0.1,,
646,2022_00-0030068,Marquise Goodwin,WR,0.1,0.1,0,0.1,,
647,2022_00-0027696,Jimmy Graham,TE,0.1,0.1,0,0.1,,
649,2022_00-0029239,Brandon Bolden,RB,0.1,0.1,0,0.1,,
650,2022_00-0031558,Maxx Williams,TE,0.1,0.1,0,0.1,,
651,2022_00-0035760,Jacques Patrick,RB,0.1,0.1,0,0.1,,
652,2022_00-0026035,Danny Amendola,WR,0.1,0.1,0,0.1,,
653,2022_00-0033164,Troymaine Pope,RB,0.1,0.1,0,0.1,,
654,2022_00-0032940,DeAndre Washington,RB,0.1,0.1,0,0.1,,
655,2022_00-0032393,C.J. Prosise,RB,0.1,0.1,0,0.1,,
656,2022_00-0032577,D.J. Foster,RB,0.1,0.1,0,0.1,,
657,2022_00-0033725,Corey Clement,RB,0.1,0.1,0,0.1,,
658,2022_00-0030465,Kenjon Barner,RB,0.1,0.1,0,0.1,,
659,2022_00-0036429,Charlie Woerner,TE,0.1,0.1,0,0.1,,
660,2022_00-0029269,Travis Benjamin,WR,0.1,0.1,0,0.1,,
661,2022_00-0034253,Dontrell Hilliard,RB,0.1,0.1,0,0.1,,
662,2022_00-0035313,Terry Godwin,WR,0.1,0.1,0,0.1,,
663,2022_00-0034279,Equanimeous St. Brown,WR,0.1,0.1,0,0.1,,
664,2022_00-0031387,Eric Ebron,TE,0.1,0.1,0,0.1,,
665,2022_00-0035259,Trevon Wesco,TE,0.1,0.1,0,0.1,,
666,2022_00-0022127,Jason Witten,TE,0.1,0.1,0,0.1,,
667,2022_00-0033733,Greg Ward,WR,0.1,0.1,0,0.1,,
668,2022_00-0035645,Gunner Olszewski,WR,0.1,0.1,0,0.1,,
669,2022_00-0034613,Tanner Hudson,TE,0.1,0.1,0,0.1,,
670,2022_00-0034169,Marcus Baugh,TE,0.1,0.1,0,0.1,,
671,2022_00-0034735,Codey McElroy,TE,0.1,0.1,0,0.1,,
672,2022_00-0034407,Ray-Ray McCloud,WR,0.1,0.1,0,0.1,,
673,2022_00-0035726,Jakob Johnson,FB,0.1,0.1,0,0.1,,
674,2022_00-0035006,Bisi Johnson,WR,0.1,0.1,0,0.1,,
675,2022_00-0034449,Buddy Howell,RB,0.1,0.1,0,0.1,,
676,2022_00-0034132,Christian Blake,WR,0.1,0.1,0,0.1,,
677,2022_00-0032404,Tyler Ervin,RB,0.1,0.1,0,0.1,,
678,2022_00-0034400,Jordan Wilkins,RB,0.1,0.1,0,0.1,,
679,2022_00-0032355,Chester Rogers,WR,0.1,0.1,0,0.1,,
680,2022_00-0035187,Austin Walter,RB,0.1,0.1,0,0.1,,
681,2022_00-0036173,Tommy Hudson,TE,0.1,0.1,0,0.1,,
682,2022_00-0036424,Brycen Hopkins,TE,0.1,0.1,0,0.1,,
683,2022_00-0036008,Hunter Bryant,TE,0.1,0.1,0,0.1,,
684,2022_00-0036005,Noah Togiai,TE,0.1,0.1,0,0.1,,
685,2022_00-0031934,Devin Smith,WR,0.1,0.1,0,0.1,,
686,2022_00-0033955,Jeremy McNichols,RB,0.1,0.1,0,0.1,,
687,2022_00-0031595,Michael Burton,FB,0.1,0.1,0,0.1,,
688,2022_00-0028237,Chris Hogan,WR,0.1,0.1,0,0.1,,
689,2022_00-0033627,Jason Croom,TE,0.1,0.1,0,0.1,,
690,2022_00-0033564,Jake Butt,TE,0.1,0.1,0,0.1,,
691,2022_00-0033006,Jaydon Mickens,WR,0.1,0.1,0,0.1,,
692,2022_00-0032977,Rashard Higgins,WR,0.1,0.1,0,0.1,,
693,2022_00-0035345,Chris Myarick,TE,0.1,0.1,0,0.1,,
694,2022_00-0034159,Will Dissly,TE,0.1,0.1,0,0.1,,
695,2022_00-0036741,Jack Stoll,TE,0.1,0.1,0,0.1,,
696,2022_00-0035567,Craig Reynolds,RB,0.1,0.1,0,0.1,,
697,2022_00-0032209,T.J. Yeldon,RB,0.1,0.1,0,0.1,,
698,2022_00-0034487,Trent Sherfield,WR,0.1,0.1,0,0.1,,
699,2022_00-0032009,Adam Humphries,WR,0.1,0.1,0,0.1,,
700,2022_00-0034672,Ethan Wolf,TE,0.1,0.1,0,0.1,,
701,2022_00-0035562,Jesper Horsted,TE,0.1,0.1,0,0.1,,
702,2022_00-0035342,Patrick Laird,RB,0.1,0.1,0,0.1,,
703,2022_00-0035671,Jace Sternberger,TE,0.1,0.1,0,0.1,,
704,2022_00-0035592,Travis Fulgham,WR,0.1,0.1,0,0.1,,
705,2022_00-0032813,Elijhaa Penny,RB,0.1,0.1,0,0.1,,
706,2022_00-0029632,Mohamed Sanu,WR,0.1,0.1,0,0.1,,
707,2022_00-0036225,Dalton Keene,TE,0.1,0.1,0,0.1,,
708,2022_00-0033572,Jamal Agnew,WR,0.1,0.1,0,0.1,,
709,2022_00-0033840,Chad Hansen,WR,0.1,0.1,0,0.1,,
710,2022_00-0034192,Nick Keizer,TE,0.1,0.1,0,0.1,,
711,2022_00-0033611,Ricky Seals-Jones,TE,0.1,0.1,0,0.1,,
712,2022_00-0036332,Josiah Deguara,TE,0.1,0.1,0,0.1,,
713,2022_00-0036357,Henry Ruggs,NA,0.1,0.1,0,0.1,,
714,2022_00-0033308,Matt Breida,RB,0.1,0.1,0,0.1,,
715,2022_00-0035631,Drew Sample,TE,0.1,0.1,0,0.1,,
716,2022_00-0027691,Andre Roberts,WR,0.1,0.1,0,0.1,,
717,2022_00-0029892,Kyle Juszczyk,FB,0.1,0.1,0,0.1,,
718,2022_00-0032956,Andy Janovich,FB,0.1,0.1,0,0.1,,
719,2022_00-0033854,Dare Ogunbowale,RB,0.1,0.1,0,0.1,,
720,2022_00-0031166,Seth Roberts,WR,0.1,0.1,0,0.1,,
721,2022_00-0030670,Bennie Fowler,WR,0.1,0.1,0,0.1,,
722,2022_00-0031339,Donte Moncrief,WR,0.1,0.1,0,0.1,,
723,2022_00-0028074,Anthony Sherman,RB,0.1,0.1,0,0.1,,
724,2022_00-0035308,Tommy Sweeney,TE,0.1,0.1,0,0.1,,
725,2022_00-0032200,Ty Montgomery,WR,0.1,0.1,0,0.1,,
726,2022_00-0034270,Tyler Conklin,TE,0.1,0.1,0,0.1,,
727,2022_00-0033798,Mason Schreck,TE,0.1,0.1,0,0.1,,
728,2022_00-0029141,Alfred Morris,RB,0.1,0.1,0,0.1,,
729,2022_00-0036244,Colby Parkinson,TE,0.1,0.1,0,0.1,,
730,2022_00-0033896,Adam Shaheen,TE,0.1,0.1,0,0.1,,
731,2022_00-0034995,Dexter Williams,RB,0.1,0.1,0,0.1,,
732,2022_00-0035457,Tyron Johnson,WR,0.1,0.1,0,0.1,,
733,2022_00-0034073,Ross Dwelley,TE,0.1,0.1,0,0.1,,
734,2022_00-0034364,Jordan Akins,TE,0.1,0.1,0,0.1,,
735,2022_00-0035603,Kendall Blanton,TE,0.1,0.1,0,0.1,,
736,2022_00-0035428,Daniel Helm,TE,0.1,0.1,0,0.1,,
737,2022_00-0035039,Stephen Carlson,TE,0.1,0.1,0,0.1,,
738,2022_00-0035529,Hakeem Butler,TE,0.1,0.1,0,0.1,,
739,2022_00-0035547,Jody Fortson,TE,0.1,0.1,0,0.1,,
740,2022_00-0031763,DeAndre Carter,WR,0.1,0.1,0,0.1,,
741,2022_00-0032778,Tajae Sharpe,WR,0.1,0.1,0,0.1,,
742,2022_00-0031209,Senorise Perry,RB,0.1,0.1,0,0.1,,
743,2022_00-0034164,Trenton Cannon,RB,0.1,0.1,0,0.1,,
744,2022_00-0032775,Demarcus Robinson,WR,0.1,0.1,0,0.1,,
745,2022_00-0033112,Temarrick Hemingway,TE,0.1,0.1,0,0.1,,
746,2022_00-0033080,Seth DeValve,TE,0.1,0.1,0,0.1,,
747,2022_00-0031868,Damiere Byrd,WR,0.1,0.1,0,0.1,,
748,2022_00-0036433,Tommy Stevens,TE,0.1,0.1,0,0.1,,
749,2022_00-0035356,Tyree Jackson,TE,0.1,0.1,0,0.1,,
750,2022_00-0034420,Jordan Thomas,TE,0.1,0.1,0,0.1,,
751,2022_00-0033338,Cethan Carter,TE,0.1,0.1,0,0.1,,
752,2022_00-0030663,Willie Snead,WR,0.1,0.1,0,0.1,,
753,2022_00-0035249,Josh Oliver,TE,0.1,0.1,0,0.1,,
754,2022_00-0033681,Keelan Cole,WR,0.1,0.1,0,0.1,,
755,2022_00-0036456,Dominique Dafney,TE,0.1,0.1,0,0.1,,
756,2022_00-0036194,Devin Asiasi,TE,0.1,0.1,0,0.1,,
757,2022_00-0034981,Foster Moreau,TE,0.1,0.1,0,0.1,,
758,2022_00-0030404,Chris Thompson,RB,0.1,0.1,0,0.1,,
759,2022_00-0034988,Kaden Smith,TE,0.1,0.1,0,0.1,,
760,2022_00-0033439,Pharaoh Brown,TE,0.1,0.1,0,0.1,,
761,2022_00-0032980,Marcus Johnson,WR,0.1,0.1,0,0.1,,
762,2022_00-0032791,Jakeem Grant,WR,0.1,0.1,0,0.1,,
763,2022_00-0033421,Antony Auclair,TE,0.1,0.1,0,0.1,,
764,2022_00-0028087,Dion Lewis,RB,0.1,0.1,0,0.1,,
765,2022_00-0030107,Theo Riddick,RB,0.1,0.1,0,0.1,,
766,2022_00-0028142,Virgil Green,TE,0.1,0.1,0,0.1,,
767,2022_00-0034798,Durham Smythe,TE,0.1,0.1,0,0.1,,
768,2022_00-0034393,Troy Fumagalli,TE,0.1,0.1,0,0.1,,
769,2022_00-0033528,Jeremy Sprinkle,TE,0.1,0.1,0,0.1,,
770,2022_00-0028097,Lee Smith,TE,0.1,0.1,0,0.1,,
771,2022_00-0033455,Anthony Firkser,TE,0.1,0.1,0,0.1,,
772,2022_00-0029119,Derek Carrier,TE,0.1,0.1,0,0.1,,
773,2022_00-0034439,Ryan Izzo,TE,0.1,0.1,0,0.1,,
774,2022_00-0036232,Harrison Bryant,TE,0.1,0.1,0,0.1,,
775,2022_00-0028411,Dontrelle Inman,WR,0.1,0.1,0,0.1,,
776,2022_00-0030472,Jordan Reed,TE,0.1,0.1,0,0.1,,
777,2022_00-0035102,Brandon Dillon,TE,0.1,0.1,0,0.1,,
778,2022_00-0032543,Alex Erickson,WR,0.1,0.1,0,0.1,,
780,2022_00-0027981,Kyle Rudolph,TE,0.1,0.1,0,0.1,,
781,2022_00-0030525,Tavon Austin,WR,0.1,0.1,0,0.1,,
782,2022_00-0032951,Laquon Treadwell,WR,0.1,0.1,0,0.1,,
783,2022_00-0031319,Diontae Spencer,WR,0.1,0.1,0,0.1,,
784,2022_00-0035823,Ben Ellefson,TE,0.1,0.1,0,0.1,,
785,2022_00-0035539,Isaac Nauta,TE,0.1,0.1,0,0.1,,
786,2022_00-0036250,Tyler Davis,TE,0.1,0.1,0,0.1,,
787,2022_00-0025418,Greg Olsen,TE,0.1,0.1,0,0.1,,
788,2022_00-0030085,Kenny Stills,WR,0.1,0.1,0,0.1,,
789,2022_00-0031690,Eric Tomlinson,TE,0.1,0.1,0,0.1,,
790,2022_00-0032098,Daniel Brown,TE,0.1,0.1,0,0.1,,
791,2022_00-0032394,Nick Vannett,TE,0.1,0.1,0,0.1,,
792,2022_00-0031484,Chris Manhertz,TE,0.1,0.1,0,0.1,,
793,2022_00-0034331,Jaylen Samuels,RB,0.1,0.1,0,0.1,,
794,2022_00-0032725,Stephen Anderson,TE,0.1,0.1,0,0.1,,
796,2022_00-0031585,MyCole Pruitt,TE,0.1,0.1,0,0.1,,
797,2022_00-0030549,Tyler Eifert,TE,0.1,0.1,0,0.1,,
798,2022_00-0030089,Luke Willson,TE,0.1,0.1,0,0.1,,
800,2022_00-0036100,Isaiah Zuber,NA,0.1,0.1,0,0.1,,
801,2022_00-0035912,LeVante Bellamy,NA,0.1,0.1,0,0.1,,
802,2022_00-0032104,Ameer Abdullah,RB,0.1,0.1,0,0.1,,
803,2022_00-0033246,Johnny Mundt,TE,0.1,0.1,0,0.1,,
808,2022_00-0031598,Nick Boyle,TE,0,0.1,0.1,0.1,,
815,2022_00-0031273,Cameron Brate,TE,0,0.1,0.1,0.1,,
779,2022_00-0032214,Tyler Kroft,TE,0.1,0,-0.1,0,,
795,2022_00-0035660,Kahale Warring,TE,0.1,0,-0.1,0,,
799,2022_00-0033258,Darrell Daniels,TE,0.1,0,-0.1,0,,
804,2022_00-0030710,Trey Burton,TE,0,0,0,0,,
805,2022_00-0035957,Rodney Smith,NA,0,0,0,0,,
