,yearly_id,full_name,position,lw,lw_June_01,difference,lw_edit,ZR_Rankings_Manual,ZR_manual_boost
113,2022_00-0035662,Marquise Brown,WR,6.5,12.9,6.4,12.9,68,
103,2022_00-0036973,Travis Etienne,RB,8.7,8.7,0,8.7,69,
112,2022_00-0036414,Cam Akers,RB,6.7,7.2,0.5,7.2,70,
97,2022_00-0032144,Melvin Gordon,RB,9.9,9.9,0,9.9,71,
82,2022_00-0036924,Michael Carter,RB,14.1,14.6,0.5,9.6,72,-5
70,2022_00-0036875,Rhamondre Stevenson,RB,18.6,15.8,-2.8,10.8,73,-5
101,2022_00-0034750,Rashaad Penny,RB,8.8,9.1,0.3,9.1,74,
100,2022_00-0034521,Allen Lazard,WR,9.3,12.8,3.5,12.8,76,
106,2022_00-0030431,Robert Woods,WR,7.8,12.1,4.3,12.1,77,
116,2022_00-0034960,Jakobi Meyers,WR,6.1,11.2,5.1,11.2,78,
123,2022_00-0036550,Rashod Bateman,WR,5.3,5.3,0,10.3,79,5
105,2022_00-0030035,Adam Thielen,WR,7.9,8.9,1,8.9,80,
117,2022_00-0035689,Dawson Knox,TE,6.1,7.2,1.1,7.2,81,
114,2022_00-0036894,Pat Freiermuth,TE,6.4,7.1,0.7,7.1,82,
135,2022_00-0036326,Chase Claypool,WR,4.6,7.5,2.9,7.5,83,
109,2022_00-0036261,Brandon Aiyuk,WR,7.3,7.3,0,7.3,84,
121,2022_00-0032211,Tyler Lockett,WR,5.6,7.8,2.2,7.8,85,
1,2022_00-0034857,Josh Allen,QB,97.6,98,0.4,,86,
2,2022_00-0036355,Justin Herbert,QB,91.9,91.4,-0.5,,87,
3,2022_00-0033873,Patrick Mahomes,QB,90.4,89.5,-0.9,,88,
6,2022_00-0035228,Kyler Murray,QB,87,89,2,,89,
5,2022_00-0034796,Lamar Jackson,QB,87.1,87.1,0,,90,
12,2022_00-0036389,Jalen Hurts,QB,68.2,64.6,-3.6,,91,
129,2022_James Cook,James Cook,RB,4.9,8.8,3.9,8.8,92,
115,2022_00-0035657,Damien Harris,RB,6.2,8.2,2,8.2,93,
155,2022_Christian Watson,Christian Watson,WR,2.8,4.4,1.6,9.4,94,5
125,2022_00-0034351,Dallas Goedert,TE,5.1,5.1,0,5.1,95,
154,2022_00-0035229,T.J. Hockenson,TE,3,3.3,0.3,3.3,96,
122,2022_00-0033948,Jamaal Williams,RB,5.5,10.4,4.9,10.4,97,
110,2022_00-0034367,Nyheim Hines,RB,7.1,15.5,8.4,10.5,98,-5
132,2022_00-0034972,Alexander Mattison,RB,4.7,6.2,1.5,6.2,99,
108,2022_00-0033871,Corey Davis,WR,7.5,8.6,1.1,8.6,100,
84,2022_00-0033009,Tyler Boyd,WR,12.4,27.7,15.3,12.7,101,-15
127,2022_Skyy Moore,Skyy Moore,WR,5.1,4,-1.1,4,102,
143,2022_Chris Olave,Chris Olave,WR,4.1,4,-0.1,4,103,
131,2022_00-0033857,JuJu Smith-Schuster,WR,4.8,4.8,0,4.8,104,
133,2022_00-0034983,Hunter Renfrow,WR,4.7,5.1,0.4,5.1,105,
75,2022_00-0034829,Mike Gesicki,TE,15.9,14.2,-1.7,4.2,106,-10
137,2022_00-0034777,DJ Chark,WR,4.4,4.2,-0.2,4.2,107,
148,2022_00-0033932,Kenny Golladay,WR,3.8,3.8,0,3.8,108,
144,2022_00-0036360,Clyde Edwards-Helaire,RB,4.1,4.4,0.3,4.4,109,
107,2022_00-0035250,Devin Singletary,RB,7.6,7.9,0.3,7.9,,
119,2022_00-0034775,Christian Kirk,WR,5.9,6,0.1,6,,
118,2022_00-0035664,Darrell Henderson,RB,5.9,5.9,0,5.9,,
136,2022_00-0032602,J.D. McKissic,RB,4.4,5.5,1.1,5.5,,
147,2022_00-0036919,Kenneth Gainwell,RB,3.9,5.4,1.5,5.4,,
150,2022_Isaiah Spiller,Isaiah Spiller,RB,3.7,4.7,1,4.7,,
139,2022_00-0036936,Rondale Moore,WR,4.4,4.4,0,4.4,,
140,2022_00-0034681,Chase Edmonds,RB,4.3,4.4,0.1,4.4,,
170,2022_Tyrion Davis-Price,Tyrion Davis-Price,RB,2.1,4.3,2.2,4.3,,
149,2022_Dameon Pierce,Dameon Pierce,RB,3.7,4.1,0.4,4.1,,
160,2022_00-0036415,Van Jefferson,WR,2.6,3.9,1.3,3.9,,
151,2022_00-0035261,Tony Pollard,RB,3.6,3.6,0,3.6,,
104,2022_00-0027656,Rob Gronkowski,TE,8.3,3.5,-4.8,3.5,,
207,2022_David Bell,David Bell,WR,1.4,3.5,2.1,3.5,,
141,2022_00-0034411,Russell Gage,WR,4.2,3.4,-0.8,3.4,,
142,2022_00-0036196,Gabriel Davis,WR,4.2,3.4,-0.8,3.4,,
153,2022_00-0036906,Khalil Herbert,RB,3.3,3.3,0,3.3,,
197,2022_Rachaad White,Rachaad White,RB,1.5,3.2,1.7,3.2,,
146,2022_00-0034272,Marquez Valdes-Scantling,WR,3.9,3.1,-0.8,3.1,,
161,2022_00-0029293,Marvin Jones,WR,2.5,3.1,0.6,3.1,,
164,2022_00-0031428,Allen Robinson,WR,2.3,3.1,0.8,3.1,,
204,2022_00-0032688,Robbie Anderson,WR,1.4,3.1,1.7,3.1,,
159,2022_00-0034184,Gus Edwards,RB,2.7,3,0.3,3,,
126,2022_Jameson Williams,Jameson Williams,WR,5.1,2.8,-2.3,2.8,,
145,2022_00-0031382,Jarvis Landry,WR,4.1,2.8,-1.3,2.8,,
156,2022_00-0034383,Dalton Schultz,TE,2.8,2.8,0,2.8,,
158,2022_00-0036290,Cole Kmet,TE,2.7,2.7,0,2.7,,
162,2022_Alec Pierce,Alec Pierce,WR,2.4,2.7,0.3,2.7,,
183,2022_00-0034301,Darrel Williams,RB,1.9,2.6,0.7,2.6,,
128,2022_Jahan Dotson,Jahan Dotson,WR,5.1,2.5,-2.6,2.5,,
163,2022_00-0030061,Zach Ertz,TE,2.4,2.4,0,2.4,,
186,2022_00-0033118,Kenyan Drake,RB,1.8,2.3,0.5,2.3,,
198,2022_Tyler Allgeier,Tyler Allgeier,RB,1.5,2.3,0.8,2.3,,
230,2022_Jalen Tolbert,Jalen Tolbert,WR,1,2.3,1.3,2.3,,
168,2022_00-0034816,Ronald Jones,RB,2.2,2.2,0,2.2,,
169,2022_00-0030578,Cordarrelle Patterson,RB,2.2,2.2,0,2.2,,
166,2022_00-0033375,Tim Patrick,WR,2.3,2.1,-0.2,2.1,,
173,2022_00-0034115,Jeff Wilson,RB,2,2,0,2,,
195,2022_00-0036251,Zack Moss,RB,1.5,2,0.5,2,,
205,2022_00-0031687,Raheem Mostert,RB,1.4,2,0.6,2,,
134,2022_00-0036423,Albert Okwuegbunam,TE,4.6,1.9,-2.7,1.9,,
165,2022_00-0033885,David Njoku,TE,2.3,1.8,-0.5,1.8,,
185,2022_00-0031260,Logan Thomas,TE,1.8,1.8,0,1.8,,
188,2022_George Pickens,George Pickens,WR,1.8,1.8,0,1.8,,
190,2022_00-0035311,Myles Gaskin,RB,1.8,1.8,0,1.8,,
171,2022_00-0036554,Nico Collins,WR,2.1,1.6,-0.5,1.6,,
192,2022_00-0036233,Donovan Peoples-Jones,WR,1.6,1.6,0,1.6,,
194,2022_00-0033757,Robert Tonyan,TE,1.5,1.5,0,1.5,,
