season,_id,_rank,_draftsSelectedIn,_averagePick,_draftSelPct,_minPick,_maxPick
2013,8658,1,3772,1.25,100,1,11
2013,10709,2,3771,3.13,100,1,11
2013,9690,3,3771,4.72,100,1,11
2013,9054,4,3771,5.56,100,1,162
2013,8657,5,3770,5.91,100,1,193
2013,9822,6,3769,7.21,100,1,119
2013,9094,7,3771,7.72,100,1,61
2013,10706,8,3770,8.25,100,1,33
2013,9448,9,3771,8.58,100,1,40
2013,8670,10,3770,10.17,100,1,47
2013,10261,11,3769,14,100,1,194
2013,9122,12,3771,14.41,100,2,53
2013,9823,13,3771,14.54,100,1,195
2013,10870,14,3765,15.61,100,1,277
2013,8360,15,3771,17.46,100,2,197
2013,9925,16,3768,17.98,100,1,196
2013,10271,17,3764,19.11,99,2,198
2013,7836,18,3733,20.63,99,1,66
2013,9078,19,3771,21.15,100,2,68
2013,9884,20,3769,21.88,100,5,236
2013,7414,21,3771,21.93,100,4,111
2013,4925,22,3731,23.41,99,1,70
2013,8243,23,3769,25.17,100,5,104
2013,8301,24,3771,26.08,100,4,136
2013,7393,25,3770,26.43,100,4,201
2013,6931,26,3770,28.65,100,7,202
2013,10308,27,3762,29.13,99,3,249
2013,10334,28,3769,30.95,100,8,175
2013,7942,29,3771,31.39,100,5,167
2013,7839,30,3771,31.63,100,5,204
2013,10302,31,3768,32.67,100,10,182
2013,10080,32,3770,33.82,100,7,228
2013,10707,33,3767,34.53,100,8,164
2013,3291,34,3727,36.77,98,1,124
2013,7877,35,3771,37.32,100,2,159
2013,9087,36,3770,38.2,100,11,139
2013,7873,37,3771,38.63,100,16,206
2013,7653,38,3770,41.26,100,8,209
2013,9902,39,3765,42.07,100,5,203
2013,10273,40,3729,43.28,99,2,172
2013,10708,41,3771,43.77,100,17,167
2013,9308,42,3765,44.78,100,8,213
2013,8667,43,3769,45.14,100,18,210
2013,8493,44,3770,45.52,100,13,211
2013,4923,45,3762,46.57,99,16,214
2013,5848,46,3732,47.1,99,1,155
2013,6997,47,3766,49.6,100,11,212
2013,9450,48,3770,50.95,100,21,207
2013,9118,49,3768,51.63,100,19,208
2013,11201,50,3735,53.74,99,7,567
2013,9099,51,3730,53.78,99,1,126
2013,9250,52,3770,56.02,100,20,218
2013,9851,53,3770,56.82,100,12,190
2013,10289,54,3769,57.54,100,24,217
