"","season","adp_undrafted"
"1",2011,219.23
"2",2012,223.48
"3",2013,230.91
"4",2014,255.3
"5",2015,235.56
"6",2016,232.88
"7",2017,240.74
"8",2018,273.75
"9",2019,264.62
"10",2020,312.14
"11",2021,247.48
"12",2022,241
