"","X","season","ecr_unranked"
"1",1,2011,361
"2",2,2012,210.2
"3",3,2013,239
"4",4,2014,397.5
"5",5,2015,396.5
"6",6,2016,344
"7",7,2017,358.5
"8",8,2018,361.2
"9",9,2019,602
"10",10,2020,392.5
"11",11,2021,646
