season,_id,_rank,_draftsSelectedIn,_averagePick,_draftSelPct,_minPick,_maxPick
2011,8658,1,2249,2.07,100,1,76
2011,9690,2,2249,2.79,100,1,27
2011,9094,3,2248,4.04,100,1,77
2011,9054,4,2221,5.25,98,1,91
2011,9078,5,2245,5.27,99,1,37
2011,9448,6,2245,6.98,99,1,215
2011,6931,7,2246,9.01,99,1,113
2011,7836,8,2208,10,98,1,183
2011,4891,9,2204,10.98,98,1,181
2011,8657,10,2246,12.34,99,1,126
2011,8301,11,2246,12.7,99,2,56
2011,7839,12,2244,13.02,99,2,137
2011,9089,13,2241,13.69,99,3,91
2011,9087,14,2244,15.15,99,3,145
2011,7393,15,2244,16.56,99,1,149
2011,7877,16,2246,19.08,99,3,69
2011,9122,17,2243,19.9,99,3,101
2011,9450,18,2242,19.93,99,5,114
2011,8293,19,2244,21.76,99,5,150
2011,7414,20,2244,22.25,99,5,151
2011,7544,21,2245,22.56,99,2,149
2011,5848,22,2206,22.89,98,1,143
2011,4925,23,2209,24.07,98,1,160
2011,7873,24,2240,24.62,99,9,159
2011,9272,25,2242,25.32,99,3,176
2011,7394,26,2206,26.04,98,1,96
2011,9525,27,2243,26.97,99,6,162
2011,8510,28,2243,29.52,99,2,194
2011,4923,29,2242,30.3,99,9,193
2011,9075,30,2242,31.81,99,8,196
2011,8667,31,2241,34.42,99,5,195
2011,8917,32,2243,35.7,99,8,154
2011,9898,33,2241,36.96,99,4,227
2011,9839,34,2237,37.11,99,7,207
2011,7236,35,2243,38.19,99,4,203
2011,9823,36,2242,41.01,99,1,210
2011,9927,37,2241,41.42,99,19,218
2011,7653,38,2244,41.6,99,4,202
2011,9079,39,2239,42.13,99,3,136
2011,3291,40,2189,42.7,97,1,209
2011,8360,41,2243,42.87,99,18,201
2011,7260,42,2204,43.46,98,1,119
2011,9851,43,2241,44.36,99,4,211
2011,9458,44,2240,45.85,99,9,227
2011,9150,45,2241,46.99,99,6,205
2011,6997,46,2243,48.72,99,1,213
2011,8268,47,2240,49.56,99,9,195
2011,9437,48,2234,50.65,99,12,228
2011,8493,49,2244,51.02,99,13,204
2011,7052,50,2241,51.16,99,15,206
2011,8266,51,2242,52.33,99,8,210
2011,10276,52,2233,53.01,99,7,355
2011,9099,53,2205,54.49,98,2,131
2011,9269,54,2243,54.83,99,21,173
2011,6952,55,2239,54.88,99,10,212
2011,7480,56,2200,56.02,97,8,136
2011,9436,57,2242,57.15,99,15,234
2011,6982,58,2245,59.09,99,2,216
2011,8247,59,2240,60.45,99,21,214
2011,9441,60,2239,60.82,99,17,222
2011,7401,61,2208,61.02,98,7,170
2011,9085,62,2241,67.37,99,25,230
2011,7816,63,2233,69.05,99,21,218
2011,8932,64,2235,69.06,99,12,220
2011,9467,65,2211,69.36,98,25,208
2011,9563,66,2225,73.13,99,9,278
2011,9440,67,2238,73.68,99,24,251
2011,9925,68,2226,75.66,99,9,278
2011,4929,69,2238,76.03,99,13,409
2011,9347,70,2232,76.73,99,11,349
2011,8339,71,2234,77.03,99,32,362
2011,10271,72,2225,77.39,99,19,357
2011,8679,73,2229,78.96,99,25,276
2011,8271,74,2225,79.07,99,3,224
2011,9460,75,2201,79.39,97,3,171
2011,8670,76,2236,79.56,99,4,259
2011,8934,77,2219,80.61,98,6,251
2011,9431,78,2201,80.97,97,2,205
2011,8243,79,2234,84.02,99,12,315
2011,9101,80,2207,85.07,98,13,235
2011,4907,81,2229,86.56,99,26,237
2011,9250,82,2220,86.94,98,21,238
2011,9196,83,2110,88.06,93,23,471
2011,10299,84,2153,88.13,95,18,359
2011,510,85,2095,89.56,93,6,173
2011,10261,86,2209,91.67,98,13,356
2011,7391,87,2197,93.92,97,2,236
2011,9817,88,2191,94.38,97,11,229
2011,9544,89,2209,95.58,98,47,285
2011,4974,90,2226,96.21,99,14,294
2011,8269,91,2199,97.41,97,45,359
2011,9315,92,2209,98.16,98,31,253
2011,523,93,2094,99.07,93,10,188
2011,9308,94,2179,99.77,96,12,362
2011,5657,95,2153,102.78,95,8,491
2011,9064,96,2191,103.78,97,12,261
2011,7922,97,2196,104.5,97,16,288
2011,9902,98,2191,104.84,97,15,285
2011,9822,99,2185,104.87,97,18,301
2011,9427,100,2189,105.65,97,24,259
2011,9987,101,2185,106.89,97,16,313
2011,7396,102,2188,107.33,97,35,280
2011,505,103,2096,108.55,93,2,211
2011,9575,104,2185,109.85,97,16,323
2011,8178,105,2191,110.13,97,40,290
2011,8931,106,2192,111.17,97,25,294
2011,9444,107,2164,111.95,96,22,348
2011,518,108,2071,112.43,92,9,264
2011,8777,109,2161,115.23,96,48,315
2011,8758,110,2175,115.41,96,11,272
2011,1600,111,2186,116.65,97,54,348
2011,8252,112,2169,118.83,96,25,292
2011,7815,113,2161,120.4,96,38,288
2011,9874,114,2152,120.93,95,31,374
2011,2918,115,2181,121.03,97,28,406
2011,504,116,2095,123.25,93,2,243
2011,9118,117,2132,123.91,94,21,328
2011,8685,118,2135,124.13,95,9,336
2011,531,119,2093,126.49,93,17,274
2011,7403,120,1966,126.56,87,40,450
2011,9301,121,2082,127.09,92,63,296
2011,4895,122,2144,127.26,95,7,368
2011,8683,123,2043,129.74,90,43,340
2011,3367,124,2163,129.85,96,27,389
2011,8042,125,2140,131.26,95,26,309
2011,9830,126,2053,132.52,91,19,350
2011,9429,127,2142,134.6,95,8,309
2011,6951,128,1901,134.86,84,22,586
2011,9187,129,1978,135.37,88,33,380
2011,521,130,2084,136.1,92,19,302
2011,9693,131,2091,136.25,93,11,426
2011,7822,132,1954,139.35,86,45,376
2011,10327,133,1885,141.87,83,38,361
2011,10355,134,1881,142.02,83,50,373
2011,9080,135,2035,142.14,90,39,399
2011,6999,136,1766,142.7,78,51,527
2011,7471,137,1955,142.74,87,53,418
2011,8680,138,1983,143.32,88,63,354
2011,7918,139,2021,144.26,89,1,380
2011,8687,140,1913,144.57,85,44,382
2011,7397,141,1792,144.64,79,49,577
2011,9907,142,1802,145.32,80,46,429
2011,8702,143,1769,146.44,78,35,430
2011,5666,144,2144,146.51,95,25,479
2011,7814,145,1984,148.41,88,9,413
2011,7455,146,2119,148.59,94,33,399
2011,517,147,2030,149.31,90,32,265
2011,8062,148,1971,149.44,87,34,342
2011,6573,149,1875,149.82,83,38,404
2011,514,150,2012,149.91,89,34,294
2011,9474,151,1850,150.64,82,58,314
2011,7942,152,1785,150.72,79,18,403
2011,522,153,1950,151.07,86,20,313
2011,3866,154,1878,151.9,83,25,533
2011,10304,155,1653,153.06,73,67,367
2011,8742,156,2151,157.14,95,19,408
2011,9908,157,1736,157.16,77,54,425
2011,9899,158,1724,157.57,76,14,399
2011,9988,159,1191,158.76,53,13,598
2011,8359,160,2123,159.07,94,29,414
2011,529,161,1801,160.11,80,37,302
2011,10318,162,1278,160.13,56,66,408
2011,8776,163,1623,161.3,72,31,368
2011,9838,164,1465,161.7,65,51,388
2011,8838,165,1707,162.26,75,29,362
2011,9918,166,1444,162.97,64,70,402
2011,10302,167,1464,162.97,65,7,432
2011,516,168,1831,163.26,81,38,316
2011,10273,169,1406,164.3,62,13,396
2011,9604,170,1454,164.31,64,58,441
2011,9124,171,1350,164.6,60,78,424
2011,5656,172,1618,165.92,72,32,571
2011,9862,173,836,166.87,37,34,477
2011,9859,174,1147,168.14,51,47,405
2011,5818,175,2082,168.94,92,39,481
2011,8822,176,1372,169.09,61,36,435
2011,526,177,1552,170.47,69,41,298
2011,4077,178,1254,170.55,55,32,544
2011,10305,179,1132,170.86,50,82,448
2011,7921,180,1421,171.14,63,28,498
2011,9639,181,1178,171.6,52,84,402
2011,8386,182,1127,172.92,50,95,559
2011,10303,183,766,173.51,34,48,470
2011,6789,184,2074,173.58,92,40,519
2011,4924,185,1226,174.95,54,59,507
2011,7834,186,732,175,32,74,402
2011,9171,187,1162,175.39,51,47,430
2011,9360,188,1827,175.6,81,41,469
2011,8911,189,1258,175.62,55,86,435
2011,10388,190,853,175.77,37,37,576
2011,7842,191,1111,175.83,49,56,382
2011,9921,192,874,176.34,38,82,502
2011,9456,193,873,176.58,38,58,429
2011,10365,194,1905,178.16,84,42,436
2011,9548,195,481,178.4,21,52,437
2011,7019,196,862,178.74,38,41,461
2011,6616,197,807,179.11,35,33,469
2011,9137,198,801,179.32,35,80,444
2011,7468,199,673,179.68,29,70,597
2011,10334,200,754,181.06,33,44,466
2011,7422,201,869,181.2,38,70,428
2011,2842,202,1686,181.44,75,43,563
2011,7150,203,1954,181.91,86,39,582
2011,3869,204,1034,182.08,46,62,572
2011,2705,205,701,182.46,31,28,477
2011,7837,206,690,182.87,30,7,475
2011,10307,207,251,183.22,11,59,390
2011,3579,208,1373,184.15,61,43,530
2011,9900,209,656,184.2,29,40,439
2011,10286,210,424,184.23,18,22,421
2011,524,211,800,184.87,35,73,302
2011,9120,212,834,185.02,37,46,434
2011,3445,213,702,185.08,31,20,588
2011,10077,214,251,185.24,11,35,426
2011,530,215,1020,185.8,45,51,322
2011,8298,216,770,186.39,34,45,453
2011,512,217,786,186.97,34,75,308
