season,_id,_rank,_draftsSelectedIn,_averagePick,_draftSelPct,_minPick,_maxPick
2018,12150,1,3302,1.43,99,1,11
2018,11192,2,3310,3.01,100,1,11
2018,12625,3,3304,3.73,99,1,30
2018,12171,4,3306,3.97,99,1,55
2018,9988,5,3309,5.89,99,1,11
2018,13132,6,3299,6.7,99,1,168
2018,13604,7,3290,7.97,99,1,325
2018,11232,8,3306,8.97,99,1,37
2018,11679,9,3307,10.37,99,1,30
2018,13129,10,3306,10.85,99,1,45
2018,13138,11,3305,11.74,99,2,119
2018,12151,12,3311,12.5,100,2,45
2018,13128,13,3307,13.61,99,1,219
2018,10271,14,3312,14.24,100,2,119
2018,12652,15,3302,15.88,99,2,105
2018,13130,16,3309,16.69,99,2,46
2018,11222,17,3312,18.04,100,3,52
2018,11675,18,3308,18.69,99,3,78
2018,10261,19,3309,22.1,99,6,63
2018,11660,20,3306,22.15,99,4,90
2018,9902,21,3304,23.24,99,4,77
2018,11671,22,3298,24.15,99,2,60
2018,13131,23,3308,24.88,99,2,68
2018,7836,24,3268,26.11,98,1,75
2018,11244,25,3308,27.37,99,6,91
2018,12801,26,3306,27.79,99,6,167
2018,12634,27,3306,28.01,99,9,137
2018,12186,28,3309,31.59,99,7,254
2018,10729,29,3312,33.65,100,6,98
2018,9448,30,3308,34.5,99,2,165
2018,12175,31,3306,37.45,99,12,221
2018,11938,32,3308,37.72,99,7,163
2018,11247,33,3305,39.6,99,6,248
2018,11680,34,3305,40.51,99,11,158
2018,13113,35,3263,40.52,98,1,208
2018,10527,36,3310,42.26,100,1,167
2018,7393,37,3310,42.92,100,9,183
2018,13156,38,3311,43.63,100,5,169
2018,12630,39,3309,45.12,99,4,261
2018,11674,40,3309,45.45,99,2,110
2018,12628,41,3305,47.07,99,14,146
2018,11678,42,3309,47.65,99,13,173
2018,10703,43,3269,48.03,98,1,150
2018,12154,44,3312,51.05,100,3,159
2018,12626,45,3301,51.77,99,12,182
2018,5848,46,3272,51.89,98,1,235
2018,9884,47,3312,52.88,100,15,162
