"","yearly_id","position","fantasy_pos"
"19965","2021_00-0031610","TE","receiver"
"19966","2021_00-0029119","TE","receiver"
"19967","2021_00-0034981","TE","receiver"
"19968","2021_00-0035457","WR","receiver"
"19969","2021_00-0034426","WR","receiver"
"19970","2021_00-0036527","WR","receiver"
"19971","2021_00-0033891","WR","receiver"
"19972","2021_00-0034983","WR","receiver"
"19973","2021_00-0026189","WR","receiver"
"19974","2021_00-0036365","WR","receiver"
"19975","2021_00-0036526","WR","receiver"
"19976","2021_00-0033119","QB","passer"
"19977","2021_00-0035161","QB","passer"
"19978","2021_00-0036212","QB","passer"
"19979","2021_00-0035752","QB","passer"
"19980","2021_00-0035342","RB","rusher"
"19981","2021_00-0036020","RB","rusher"
"19982","2021_00-0035311","RB","rusher"
"19983","2021_00-0034109","RB","rusher"
"19984","2021_00-0036578","RB","rusher"
"19985","2021_00-0035275","RB","rusher"
"19986","2021_00-0031806","RB","rusher"
"19987","2021_00-0032257","RB","rusher"
"19988","2021_00-0033338","TE","receiver"
"19989","2021_00-0034798","TE","receiver"
"19990","2021_00-0033896","TE","receiver"
"19991","2021_00-0034829","TE","receiver"
"19992","2021_00-0037004","TE","receiver"
"19993","2021_00-0030669","WR","receiver"
"19994","2021_00-0036613","WR","receiver"
"19995","2021_00-0033555","WR","receiver"
"19996","2021_00-0031547","WR","receiver"
"19997","2021_00-0030821","WR","receiver"
"19998","2021_00-0032881","WR","receiver"
"19999","2021_00-0036364","WR","receiver"
"20000","2021_00-0034054","WR","receiver"
"20001","2021_00-0032795","WR","receiver"
"20002","2021_00-0033127","WR","receiver"
"20003","2021_00-0033471","WR","receiver"
"20004","2021_00-0035350","WR","receiver"
"20005","2021_00-0035975","FB","rusher"
"20006","2021_00-0032918","FB","rusher"
"20007","2021_00-0029604","QB","passer"
"20008","2021_00-0032245","QB","passer"
"20009","2021_00-0036946","QB","passer"
"20010","2021_00-0036819","RB","rusher"
"20011","2021_00-0033950","RB","rusher"
"20012","2021_00-0033893","RB","rusher"
"20013","2021_00-0034972","RB","rusher"
"20014","2021_00-0036842","RB","rusher"
"20015","2021_00-0028042","TE","receiver"
"20016","2021_00-0034766","TE","receiver"
"20017","2021_00-0034970","TE","receiver"
"20018","2021_00-0035823","TE","receiver"
"20019","2021_00-0034270","TE","receiver"
"20020","2021_00-0036640","TE","receiver"
"20021","2021_00-0036635","WR","receiver"
"20022","2021_00-0036345","WR","receiver"
"20023","2021_00-0030035","WR","receiver"
"20024","2021_00-0036815","WR","receiver"
"20025","2021_00-0035934","WR","receiver"
"20026","2021_00-0035006","WR","receiver"
"20027","2021_00-0033839","WR","receiver"
"20028","2021_00-0035976","WR","receiver"
"20029","2021_00-0036322","WR","receiver"
"20030","2021_00-0035726","FB","rusher"
"20031","2021_00-0026625","QB","passer"
"20032","2021_00-0036972","QB","passer"
"20033","2021_00-0035264","QB","passer"
"20034","2021_00-0035184","RB","rusher"
"20035","2021_00-0031062","RB","rusher"
"20036","2021_00-0035657","RB","rusher"
"20037","2021_00-0036875","RB","rusher"
"20038","2021_00-0029239","RB","rusher"
"20039","2021_00-0036096","RB","rusher"
"20040","2021_00-0033090","TE","receiver"
"20041","2021_00-0034393","TE","receiver"
"20042","2021_00-0036225","TE","receiver"
"20043","2021_00-0033858","TE","receiver"
"20044","2021_00-0031744","TE","receiver"
"20045","2021_00-0036194","TE","receiver"
"20046","2021_00-0033307","WR","receiver"
"20047","2021_00-0036536","WR","receiver"
"20048","2021_00-0036245","WR","receiver"
"20049","2021_00-0034960","WR","receiver"
"20050","2021_00-0035645","WR","receiver"
"20051","2021_00-0036183","WR","receiver"
"20052","2021_00-0031549","WR","receiver"
"20053","2021_00-0026293","WR","receiver"
"20054","2021_00-0035121","WR","receiver"
"20055","2021_00-0035624","WR","receiver"
"20056","2021_00-0036727","FB","rusher"
"20057","2021_00-0031503","QB","passer"
"20058","2021_00-0031407","QB","passer"
"20059","2021_00-0036929","QB","passer"
"20060","2021_00-0033357","QB","passer"
"20061","2021_00-0032156","QB","passer"
"20062","2021_00-0027966","RB","rusher"
"20063","2021_00-0035860","RB","rusher"
"20064","2021_00-0033906","RB","rusher"
"20065","2021_00-0032450","RB","rusher"
"20066","2021_00-0034457","RB","rusher"
