"","yearly_id","position","fantasy_pos"
"20481","2021_00-0025399","RB","rusher"
"20482","2021_00-0034427","RB","rusher"
"20483","2021_00-0029795","RB","rusher"
"20484","2021_00-0031577","RB","rusher"
"20485","2021_00-0030656","RB","rusher"
"20486","2021_00-0034007","RB","rusher"
"20487","2021_00-0035569","RB","rusher"
"20488","2021_00-0031066","RB","rusher"
"20489","2021_00-0033515","RB","rusher"
"20490","2021_00-0034900","RB","rusher"
"20491","2021_00-0032404","RB","rusher"
"20492","2021_00-0035583","RB","rusher"
"20493","2021_00-0026184","RB","rusher"
"20494","2021_00-0034221","RB","rusher"
"20495","2021_00-0029854","RB","rusher"
"20496","2021_00-0027531","RB","rusher"
"20497","2021_00-0032902","RB","rusher"
"20498","2021_00-0034893","RB","rusher"
"20499","2021_00-0035551","RB","rusher"
"20500","2021_00-0029273","RB","rusher"
"20501","2021_00-0034666","RB","rusher"
"20502","2021_00-0035658","RB","rusher"
"20503","2021_00-0035691","RB","rusher"
"20504","2021_00-0031301","RB","rusher"
"20505","2021_00-0027029","RB","rusher"
