season,_id,_rank,_draftsSelectedIn,_averagePick,_draftSelPct,_minPick,_maxPick
2012,9690,1,3025,1.88,100,1,64
2012,9094,2,3022,2.81,100,1,11
2012,7836,3,2982,3.74,98,1,141
2012,9448,4,3024,3.79,100,1,59
2012,8657,5,3023,5.93,100,1,279
2012,9078,6,3021,8.42,99,1,73
2012,5848,7,2978,8.52,98,1,57
2012,4925,8,2977,9.65,98,1,50
2012,9087,9,3016,10.45,99,1,216
2012,9122,10,3013,12.57,99,1,53
2012,9925,11,3015,15.03,99,1,284
2012,10273,12,2973,16.17,98,1,186
2012,8301,13,3019,16.77,99,3,78
2012,7393,14,3018,17.63,99,2,281
2012,9431,15,2970,17.82,98,1,182
2012,9902,16,3016,17.84,99,2,282
2012,10302,17,3012,18.14,99,3,194
2012,10271,18,3016,20.55,99,1,292
2012,7653,19,3020,21.31,99,3,291
2012,8658,20,3019,21.82,99,1,61
2012,6931,21,3019,22.46,99,3,290
2012,9054,22,3018,23.15,99,5,275
2012,9851,23,3003,23.41,99,2,190
2012,10261,24,3017,25.94,99,1,287
2012,7839,25,3020,26.86,99,2,294
2012,8670,26,3016,27.37,99,3,213
2012,10706,27,3013,28.42,99,1,385
2012,7942,28,3015,28.91,99,2,180
2012,8293,29,3021,29.45,99,4,293
2012,8360,30,3018,29.62,99,9,298
2012,10080,31,3014,30.31,99,3,299
2012,7414,32,3018,31.76,99,2,160
2012,9450,33,3015,34.92,99,5,289
2012,9118,34,3013,35.43,99,7,303
2012,8934,35,2997,35.75,99,6,239
2012,8917,36,3017,41.01,99,9,141
2012,10709,37,3013,41.98,99,2,387
2012,9525,38,3017,42.12,99,5,300
2012,9823,39,3016,42.59,99,11,299
2012,9441,40,3005,43.08,99,9,304
2012,8493,41,3018,44.55,99,18,312
2012,7544,42,3019,45.41,99,7,224
2012,7877,43,3020,46.21,99,5,169
2012,4974,44,3013,46.65,99,14,318
2012,4891,45,2974,47.64,98,4,206
2012,9099,46,2977,48.64,98,6,214
2012,9830,47,3014,48.89,99,13,315
2012,7391,48,2975,49.69,98,1,149
2012,8243,49,3015,50.47,99,10,189
2012,9884,50,3016,50.71,99,16,308
2012,7236,51,3016,51.57,99,12,332
2012,9988,52,3013,55.76,99,14,323
2012,9436,53,3015,56.47,99,17,314
2012,8510,54,3019,57.57,99,2,311
2012,8667,55,3005,58.26,99,23,317
